female_band,male_band,nest,site,obs_date,observer,obs_method,nestling_number,nestling_age,blind_camera_distance,obs_start_time,obs_end_time,trial_temp,min_temp,max_temp,trial_humidity,wind_speed,wind_gust,cloud_cover,notes,,
2640-97398,2850-57907,68,Grizz,6/5/2021,"SAM, ZML",person,4,3,6.17,5:58,6:58,14.8,13,35.6,53.6,4,5,partly,"sat down at 5:33am, magpie in and out of barn a few times, sanitizing behavior not noted on d3 obs",,
2640-97398,2850-57907,68,Grizz,6/10/2021,APP,camera,4,8,1.016,6:05,7:05,15.1,14.8,36.2,49.8,3,5,partly,,,
2640-97398,2850-57907,68,Grizz,6/14/2021,ZML,person,4,12,5.842,6:00,7:00,17.4,14.8,37.9,60.2,0,0,clear,"habituation 5:45, unknown other probably female based on how it fed at 6:22",,
2850-57860,UNB,154,Grizz,6/10/2021,APP,camera,5,3,0.914,6:05,7:05,14.4,14.1,36,50.8,3,5,partly,,,
2850-57860,UNB,154,Grizz,6/15/2021,APP,camera,5,8,0.876,6:05,7:05,16.3,16.2,37.7,47.1,1,3,clear,,,
2850-57860,UNB,154,Grizz,6/19/2021,,camera,3,12,0.927,,,16.7,16.7,36,54.5,0,0,partly,"camera crashed, no d12 obs",,
2850-57711,2850-57473,1,Van Loon,6/10/2021,SAM,person,3,3,0.97,6:00,7:00,15.1,14.3,29.7,50.4,0,0,partly,not possible to score GFN modifiers,,
2850-57711,2850-57473,1,Van Loon,6/15/2021,SAM,person,3,8,1.24,6:20,7:20,17.5,17.4,33.3,51.2,0,0,clear,not possible to score GFN modifiers,,
2850-57711,2850-57473,1,Van Loon,6/19/2021,SAM,person,3,12,1.32,6:30,7:30,18.4,18.4,30.9,53.2,0,0,partly,not possible to score GFN modifiers,,
2850-57520,UNB,156,Grizz,6/12/2021,ZML,person,4,4,5.33,5:45,6:45,10.9,10.9,31.7,48.5,0,0,clear,,,
2850-57520,UNB,156,Grizz,6/17/2021,ZML,person,4,9,5.64,6:06,7:06,18,18,39.1,37.8,0,0,partly,,,
2850-57520,UNB,156,Grizz,6/21/2021,ZML,person,3,13,5.26,6:15,7:15,15.1,15,39.1,65,0,0,mostly,,,
2640-97390,2850-57866,139,Grizz,6/12/2021,APP,person,4,3,6.5,5:45,6:46,11.2,12.3,31.4,47.8,0,0,clear,start habituation 5:25,,
2640-97390,2850-57866,139,Grizz,6/17/2021,APP,person,4,8,5.94,6:06,7:06,18.3,11.2,38.9,37.1,0,0,partly,start habituation 5:51,,
2640-97390,2850-57866,139,Grizz,6/21/2021,APP,person,3,12,5.38,6:15,7:15,15.3,15.2,33.1,65.3,0,0,mostly,start habituation 6:03,,
2640-97484,MB R,102,Grizz,6/12/2021,SAM,person,4,3,5,5:45,6:45,11.3,11.3,29.7,46.8,0,0,clear,,,
2640-97484,MB R,102,Grizz,6/17/2021,SAM,person,4,8,3.99,6:06,7:06,18.2,18.1,37.7,37,0,0,partly,,,
2640-97484,MB R,102,Grizz,6/21/2021,SAM,person,4,12,4.34,6:15,7:15,15.3,15.2,31.2,62.8,0,0,mostly,,,
2850-57482,2850-57716,46,Grizz,6/14/2021,SAM,person,1,3,2.79,6:00,7:00,17.1,14.4,36.6,61.5,0,0,clear,,,
2850-57482,2850-57716,46,Grizz,6/19/2021,ZML,person,1,8,5.18,6:13,7:13,16.5,16.4,35.3,55.5,0,0,partly,start habituation at 5:58; female seems to watch observer more than typical of Grizz birds,,
2850-57482,2850-57716,46,Grizz,6/23/2021,ZML,person,1,12,5.18,6:08,7:08,16.1,12.6,35.3,45.5,0,0,partly,"start habituation at 5:46; while tried to start obs at 6:00, could not differentiate parent IDs before 6:08...official start time should be 6:08; HOSP enters barn 2x",,
2850-57519,2850-57862,114,Grizz,6/15/2021,ZML,person,3,3,4.27,6:05,7:05,15.9,15.9,36.9,48.7,1,3,clear,start habituation 5:50; 2 HOSP ~3m from nest at start of trial; ,,
