Site,Nest #,Govee date,Govee initials,CI,No. eggs,No. hatchling,No. survive day 12,EHD,HD,Day 3,Day 3 Observer ,Day 8,Day 8 Observer,Day 12,Day 12 Observer,All data sheets,Data entered,Complete_obs,Notes,nestling_measures,ab_pro_3,ab_pro_8,ab_pro_12,parent_care_data_sheet,govee_data
Grizz,68,05/28/21,SAM/ZML,5/12/2021,5,4,4,5/28/2021,6/2/2021,6/5/2021,SAM,6/10/2021,Camera,6/14/2021,ZML/GEG,Y,,Y,,Y,Y,Y,Y,Y,Y
Grizz,154,6/4/2021,SAM ,5/20/2021,5,5,3,6/6/2021,6/7/2021,6/10/2021,Camera,6/15/2021,Camera,6/19/2021,X,Y,SAM,N,"camera crashed, no d12",Y,Y,Y,N,Y,Y
Van Loon,1,6/4/2021,SAM,5/20/2021,5,3,3,6/6/2021,6/7/2021,6/10/2021,SAM,6/15/2021,SAM,6/19/2021,SAM,Y,SAM,Y,,Y,Y,Y,Y,Y,Y
Grizz,156,6/6/2021,ZML,5/22/2021,4,4,3,6/7/2021,6/9/2021,6/12/2021,ZML,6/17/2021,ZML,6/21/2021,ZML,Y,SAM,Y,,Y,Y,Y,Y,Y,Y
Grizz,139,6/8/2021,SAM,5/23/2021,4,4,3,6/8/2021,6/9/2021,6/12/2021,APP,6/17/2021,APP,6/21/2021,APP,Y,ZML,Y,,Y,Y,Y,Y,Y,Y
Grizz,102,6/8/2021,SAM,5/23/2021,5,4,4,6/9/2021,6/9/2021,6/12/2021,SAM,6/17/2021,SAM,6/21/2021,SAM,Y,SAM,Y,,Y,Y,Y,Y,Y,Y
Grizz,46,6/12/2021,SAM,5/24/2021,4,1,1,6/9/2021,6/11/2021,6/14/2021,SAM,6/19/2021,ZML,6/23/2021,ZML,Y,ZML,Y,,Y,Y,Y,Y,Y,Y
Grizz,114,6/11/2021,SAM,5/26/2021,5,3,3,6/12/2021,6/12/2021,6/15/2021,ZML,6/21/2021,Camera,6/24/2021,ZML,Y,ZML,Y,,Y,Y,Y,Y,Y,Y
Van Loon,11,6/11/2021,SAM,5/26/2021,5,5,5,6/12/2021,6/14/2021,6/17/2021,Camera,6/22/2021,Camera,6/26/2021,Camera,Y,,Y,,Y,Y,Y,Y,Y,Y
Grizz,61,6/12/2021,SAM/ZML,5/28/2021,4,4,4,6/13/2021,6/14/2021,6/17/2021,MJA,6/22/2021,ZML,6/26/2021,SAM,Y,,Y,,Y,Y,Y,Y,Y,Y
Grizz,6,6/12/2021,SAM/ZML,5/30/2021,3,2,2,6/14/2021,6/15/2021,6/19/2021,Camera,6/24/2021,Camera,6/28/2021,MJA,Y,ZML,Y,,Y,Y,Y,Y,Y,Y
Schaaps,110,6/15/2021,SAM,5/29/2021,3,3,3,6/13/2021,6/15/2021,6/19/2021,MJA,6/24/2021,X,6/28/2021,camera,Y,ZML,N,day 8 dropped due to land owner preference,Y,Y,N,Y,Y,Y
Grizz,140,6/14/2021,SAM/ZML,5/31/2021,5,2,2,6/15/2021,6/17/2021,6/21/2021,MJA,6/26/2021,MJA,6/29/2021,MJA,Y,ZML,Y,,Y,Y,Y,Y,Y,Y
Grizz,151,6/14/2021,SAM/ZML,6/1/2021,5,5,5,6/15/2021,6/19/2021,6/22/2021,SAM,6/28/2021,ZML or SAM,7/1/2021,ZML,Y,APP,Y,,Y,Y,Y,Y,Y,Y
Schaaps,131.2,6/19/2021,SAM/ZML,6/4/21,4,4,4,6/20/21,6/20/2021,6/23/2021,Camera,6/28/2021,X,7/2/2021,camera,Y,APP,N,day 8 dropped due to land owner preference,Y,Y,N,Y,Y,Y
Schaaps,71,6/19/2021,SAM/ZML,6/3/2021,5,4,4,6/20/2021,6/20/2021,6/23/2021,SAM,6/28/2021,camera,7/2/2021,camera,Y,APP,Y,,Y,Y,Y,Y,Y,Y
Schaaps,74,6/19/2021,SAM/ZML,6/3/2021,5,4,3,6/20/2021,6/20/2021,6/23/2021,APP,6/28/2021,camera,7/2/2021,camera,Y,APP,Y,the nestling that died may have been the one that fell out of the nest during extraction,Y,Y,Y,Y,Y,Y
Grizz,54,6/19/2021,SAM/ZML,6/5/2021,4,4,4,6/21/2021,6/21/2021,6/24/2021,Camera,6/29/2021,camera,7/3/2021,MJA,Y,APP,Y,Checked on 6/21 found 4E but aged as day 2 on 6/22....old day 1s?,Y,Y,Y,Y,Y,Y
Grizz,86,6/22/2021,SAM/APP,6/5/2021,5,3,3,6/22/2021,6/21/2021,6/24/2021,SAM,6/29/2021,APP,7/3/2021,ZML,Y,APP,Y,,Y,Y,Y,Y,Y,Y
Grizz,161,6/23/2021,SAM/ZML,6/7/2021,4,4,4,6/23/2021,6/23/2021,6/26/2021,ZML,7/1/2021,X,7/5/2021,SAM,Y,SAM,N,"no obs, nest fell and then re-hung on d8",Y,Y,N,Y,Y,Y
Grizz,123,6/23/2021,SAM/ZML,6/7/2021,4,4,4,6/23/2021,6/23/2021,6/26/2021,APP,7/1/2021,MJA,7/5/2021,MJA,Y,SAM,Y,,Y,Y,Y,Y,Y,Y
Hayes,7,6/21/2021,SAM/APP,,,,,6/24/2021,6/25/2021,6/29/2021,ZML,7/3/2021,X,7/7/2021,X,Y,SAM,N,nest failed after day 3 obs,Y,Y,N,N,Y,Y
Blue Cloud,17,6/23/2021,SAM,6/7/2021,3,3,2,6/24/2021,6/25/2021,6/29/2021,SAM,7/3/2021,SAM,7/7/2021,SAM,Y,SAM,Y,,Y,Y,Y,Y,Y,Y
Schaaps,24,6/28/2021,SAM/ZML,6/9/2021,5,4,3,6/26/2021,6/27/2021,7/1/2021,Camera,7/6/2021,Camera,7/10/2021,Camera,Y,MJA,Y,,Y,Y,Y,Y,Y,Y
Urban Farm Girlz,4,6/26/2021,ZML/MJA,6/12/2021,3,3,3,6/27/2021,6/28/2021,7/1/2021,Camera,7/6/2021,Camera,7/11/2021,Camera,Y,MJA,Y,,Y,Y,Y,Y,Y,Y
Cooks,18,6/29/2021,SAM/MJA,6/12/2021,4,4,4,6/28/2021,6/28/2021,7/2/2021,ZML,7/6/2021,ZML,7/10/2021,MJA,Y,,Y,,Y,Y,Y,Y,Y,Y
Van Loon,46,6/26/2021,SAM,6/13/2021,5,5,5,7/1/2021,7/1/2021,7/5/2021,ZML,7/10/2021,ZML,7/13/2021,ZML,Y,,Y,,Y,Y,Y,Y,Y,Y
Schaaps,98,6/28/2021,SAM/ZML,6/15/2021,3,3,2,6/30/2021,7/3/2021,7/6/2021,Camera,7/11/2021,Camera,7/16/2021,Camera,Y,,Y,,Y,Y,Y,Y,Y,Y
