Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme
7/6/2021, 06:15:05, 00:00:00,0,2.333,54.688," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Unknown"""," ""AN"""," ""Unknown"""," ""Brooding""",,,,,,, State start,1815," ""changed from femal""", prov
7/6/2021, 06:15:09, 00:00:03,3.433,1.59,96.678," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Outside barn""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:15:11, 00:00:05,5.849,1.549,51.898," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""In barn""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:16:00, 00:00:54,54.688,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Unknown"""," ""AN"""," ""Unknown"""," ""Brooding""",,,,,,, State stop,1815," ""changed from femal""", prov
7/6/2021, 06:16:00, 00:00:54,54.688,0,3525.026," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,,,
7/6/2021, 06:16:03, 00:00:57,57.747,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""In barn""",,,,,,, State stop,1815," """"", prov
7/6/2021, 06:16:03, 00:00:57,57.747,2.432,15.441," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:16:19, 00:01:13,73.187,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,1815," """"", prov
7/6/2021, 06:16:19, 00:01:13,73.187,2.107,3.075," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""In barn""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:16:22, 00:01:16,76.262,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""In barn""",,,,,,, State stop,1815," """"", prov
7/6/2021, 06:16:22, 00:01:16,76.262,1.799,12.707," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:16:34, 00:01:28,88.969,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,1815," """"", prov
7/6/2021, 06:16:34, 00:01:28,88.969,2.108,36.432," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:16:46, 00:01:40,100.111,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Outside barn""",,,,,,, State stop,1815," """"", prov
7/6/2021, 06:16:46, 00:01:40,100.111,1.924,27.807," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""In barn""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:17:11, 00:02:05,125.401,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,1815," """"", prov
7/6/2021, 06:17:11, 00:02:05,125.401,1.849,196.406," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:17:13, 00:02:07,127.918,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""In barn""",,,,,,, State stop,1815," """"", prov
7/6/2021, 06:17:13, 00:02:07,127.918,1.474,236.129," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Outside barn""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:20:27, 00:05:21,321.807,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,1815," """"", prov
7/6/2021, 06:20:27, 00:05:21,321.807,2.141,26.374," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:20:54, 00:05:48,348.181,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,1815," """"", prov
7/6/2021, 06:20:54, 00:05:48,348.181,3.207,23.465," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,1815," """"", prov
7/6/2021, 06:21:09, 00:06:04,364.046,0,0," ""AdLib"""," ""LogAdLibitum 20210706_061505.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Outside barn""",,,,,,, State stop,1815," """"", prov
