Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,
9/29/2021, 10:26:41, 00:00:00,0,1.472,46.189," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:26:43, 00:00:02,2.29,1.133,35.606," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:26:45, 00:00:03,3.99,0.975,3574.873," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:27:19, 00:00:37,37.897,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:27:19, 00:00:37,37.897,3.423,21.858," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:27:27, 00:00:46,46.189,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:27:27, 00:00:46,46.189,1.715,8.023," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:27:35, 00:00:54,54.212,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:27:35, 00:00:54,54.212,1.067,16.941," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:27:40, 00:00:59,59.755,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning ,
