Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,,
6/26/2021, 06:13:02, 00:00:00,0,2.149,29.816," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:13:17, 00:00:14,14.833,1.874,256.771," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Unknown""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:13:32, 00:00:29,29.816,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:13:32, 00:00:29,29.816,2.057,11.499," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:13:43, 00:00:41,41.315,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:13:43, 00:00:41,41.315,1.732,157.244," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:13:46, 00:00:43,43.923,97.062,97.062," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," """""," """"",,,,,,,,, Notes,3639," ""It is a chilly morning"," sonthr female is incubating more than usua. I thjnk it is the female in the benest given the amount of time she has been brooding for""", barn_swallow_prov,
6/26/2021, 06:16:21, 00:03:18,198.559,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:16:21, 00:03:18,198.559,2.132,10.173," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:16:31, 00:03:28,208.732,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:16:31, 00:03:28,208.732,1.634,96.187," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:17:34, 00:04:31,271.604,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Unknown""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:17:34, 00:04:31,271.604,2.525,3.183," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:17:37, 00:04:34,274.787,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:17:37, 00:04:34,274.787,3.042,14.025," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:17:51, 00:04:48,288.812,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:17:51, 00:04:48,288.812,3.474,22.558," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Near nest""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:18:07, 00:05:04,304.919,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:18:07, 00:05:04,304.919,1.573,19.166," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,3639," """"", barn_swallow_prov,,
6/26/2021, 06:18:13, 00:05:11,311.37,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Near nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,,
6/26/2021, 06:18:13, 00:05:11,311.37,1.699,350.309," ""AdLib"""," ""LogAdLibitum 20210626_061302.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Near nest""",,,,,,, State start,3639," """"", barn_swallow_prov,,
