Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,
6/17/2021, 05:55:54, 00:-10:-22,622.289,16.174,16.174," ""AdLib"""," ""LogAdLibitum 20210617_060616.csv"""," """""," """"",,,,,,,,, Notes,3639," ""Grizz nest 61. Start tome 6:06 """, barn_swallow_prov,
6/17/2021, 06:06:16, 00:00:00,0,3.015,14.816," ""AdLib"""," ""LogAdLibitum 20210617_060616.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/17/2021, 06:06:20, 00:00:03,3.775,9.557,15.033," ""AdLib"""," ""LogAdLibitum 20210617_060616.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/17/2021, 06:06:31, 00:00:14,14.816,0,0," ""AdLib"""," ""LogAdLibitum 20210617_060616.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,3639," """"", barn_swallow_prov,
6/17/2021, 06:06:31, 00:00:14,14.816,3.349,34.64," ""AdLib"""," ""LogAdLibitum 20210617_060616.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/17/2021, 06:06:35, 00:00:18,18.807,0,0," ""AdLib"""," ""LogAdLibitum 20210617_060616.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,
6/17/2021, 06:06:35, 00:00:18,18.807,2.966,5.675," ""AdLib"""," ""LogAdLibitum 20210617_060616.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/17/2021, 06:06:41, 00:00:24,24.483,0,0," ""AdLib"""," ""LogAdLibitum 20210617_060616.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,3639," """"", barn_swallow_prov,
6/17/2021, 06:06:41, 00:00:24,24.483,5.249,40.847," ""AdLib"""," ""LogAdLibitum 20210617_060616.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/17/2021, 06:07:06, 00:00:49,49.456,0,0," ""AdLib"""," ""LogAdLibitum 20210617_060616.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,
