Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme
6/29/2021, 07:32:05, 00:15:00,900.441,3.974,242.828," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Male"""," ""GFN"""," ""Male""","""Unknown""",,,,,,, State start,1815," """"", prov
6/29/2021, 07:32:05, 00:15:00,900.441,1.732,3663.868," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,1815," """"", prov
6/29/2021, 07:32:05, 00:15:00,900.441,1.758,2.758," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""In barn""",,,,,,, State start,1815," """"", prov
6/29/2021, 07:32:08, 00:15:03,903.199,0,0," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""In barn""",,,,,,, State stop,1815," """"", prov
6/29/2021, 07:32:08, 00:15:03,903.199,8.332,273.385," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,1815," """"", prov
6/29/2021, 07:36:08, 00:19:03,1143.269,0,0," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Male"""," ""GFN"""," ""Male""","""Unknown""",,,,,,, State stop,1815," """"", prov
6/29/2021, 07:36:08, 00:19:03,1143.269,2.491,30.389," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""In barn""",,,,,,, State start,1815," """"", prov
6/29/2021, 07:36:39, 00:19:33,1173.658,0,0," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""In barn""",,,,,,, State stop,1815," """"", prov
6/29/2021, 07:36:39, 00:19:33,1173.658,2.184,155.842," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,1815," """"", prov
6/29/2021, 07:36:41, 00:19:36,1176.584,0,0," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,1815," """"", prov
6/29/2021, 07:36:41, 00:19:36,1176.584,2.065,3," ""AdLib"""," ""LogAdLibitum 20210629_071705.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""In barn""",,,,,,, State start,1815," """"", prov
