Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme
7/17/2021, 10:03:18, 00:00:00,0,1.641,264.041," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:03:20, 00:00:02,2.276,1.482,258.029," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:03:22, 00:00:04,4.482,1.443,1096.67," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""GFN"""," ""Unknown"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:07:38, 00:04:20,260.305,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:07:38, 00:04:20,260.305,2.008,6.471," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:07:42, 00:04:24,264.041,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:07:42, 00:04:24,264.041,1.623,6.121," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:07:45, 00:04:26,266.776,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:07:45, 00:04:26,266.776,0.913,5.577," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:07:48, 00:04:30,270.161,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:07:48, 00:04:30,270.161,1.557,229.606," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:07:50, 00:04:32,272.353,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:07:50, 00:04:32,272.353,1.508,491.731," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:11:38, 00:08:19,499.768,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:11:38, 00:08:19,499.768,1.324,6.713," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:11:44, 00:08:26,506.481,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:11:44, 00:08:26,506.481,2.09,9.019," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:11:53, 00:08:35,515.5,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:11:53, 00:08:35,515.5,1.733,4.444," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:11:58, 00:08:39,519.944,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:11:58, 00:08:39,519.944,2.125,251.62," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:12:01, 00:08:43,523.506,11.177,11.177," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," """""," """"",,,,,,,,, Notes,1111," ""Not certain on sex""", BarsObs
7/17/2021, 10:16:02, 00:12:44,764.083,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:16:02, 00:12:44,764.083,2.283,2.935," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:16:05, 00:12:47,767.019,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:16:05, 00:12:47,767.019,4.016,1439.257," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:16:09, 00:12:51,771.564,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:16:09, 00:12:51,771.564,2.19,10.938," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:16:12, 00:12:54,774.716,4.374,4.374," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," """""," """"",,,,,,,,, Notes,1111," ""M fed first """, BarsObs
7/17/2021, 10:16:20, 00:13:02,782.502,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:16:20, 00:13:02,782.502,2.183,515.519," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:21:39, 00:18:21,1101.152,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""GFN"""," ""Unknown"""," ""Far from nest""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:21:39, 00:18:21,1101.152,1.616,3.17," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""AN"""," ""Unknown"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:21:42, 00:18:24,1104.322,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""AN"""," ""Unknown"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:21:42, 00:18:24,1104.322,1.822,161.456," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""GFN"""," ""Unknown"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:21:46, 00:18:28,1108.198,155.468,155.468," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," """""," """"",,,,,,,,, Notes,1111," ""Maybe F??? Seemed pale  Ac in dis""", BarsObs
7/17/2021, 10:24:24, 00:21:05,1265.778,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""GFN"""," ""Unknown"""," ""Far from nest""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:24:24, 00:21:05,1265.778,1.657,3.368," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""AN"""," ""Unknown"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:24:27, 00:21:09,1269.146,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""AN"""," ""Unknown"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:24:27, 00:21:09,1269.146,0.892,3.11," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:24:30, 00:21:12,1272.256,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:24:30, 00:21:12,1272.256,5.435,370.971," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""GFN"""," ""Unknown"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:24:36, 00:21:18,1278.12,6.648,6.648," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," """""," """"",,,,,,,,, Notes,1111," ""Super fast visit. Ac""", BarsObs
7/17/2021, 10:24:56, 00:21:38,1298.021,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:24:56, 00:21:38,1298.021,1.397,2.281," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:24:58, 00:21:40,1300.302,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:24:58, 00:21:40,1300.302,1.747,533.595," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest""",,,,,,, State start,1111," """"", BarsObs
7/17/2021, 10:30:41, 00:27:23,1643.227,0,0," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""GFN"""," ""Unknown"""," ""Far from nest""",,,,,,, State stop,1111," """"", BarsObs
7/17/2021, 10:30:41, 00:27:23,1643.227,1.474,2.451," ""AdLib"""," ""LogAdLibitum 20210717_100318.csv"""," ""Unknown"""," ""AN"""," ""Unknown"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
