Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme
6/23/2021, 05:57:09, 00:00:00,0,1.89,19.375," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 05:57:13, 00:00:03,3.212,1.569,673.422," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,1111," """"", BarsObs
6/23/2021, 05:57:15, 00:00:05,5.318,1.25,1839.236," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,1111," """"", BarsObs
6/23/2021, 05:57:29, 00:00:19,19.375,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 05:57:29, 00:00:19,19.375,1.808,33.501," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 05:58:02, 00:00:52,52.876,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 05:58:02, 00:00:52,52.876,1.998,78.764," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 05:59:21, 00:02:11,131.64,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 05:59:21, 00:02:11,131.64,2.266,23.594," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 05:59:45, 00:02:35,155.234,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 05:59:45, 00:02:35,155.234,2.674,14.517," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 05:59:59, 00:02:49,169.751,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 05:59:59, 00:02:49,169.751,2.589,18.92," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:00:18, 00:03:08,188.671,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 06:00:18, 00:03:08,188.671,2.346,145.836," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:02:44, 00:05:34,334.507,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 06:02:44, 00:05:34,334.507,2.307,35.33," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:03:19, 00:06:09,369.837,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 06:03:19, 00:06:09,369.837,1.775,69.78," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:04:29, 00:07:19,439.617,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 06:04:29, 00:07:19,439.617,2.199,37.298," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:04:32, 00:07:22,442.386,13.246,13.246," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," """""," """"",,,,,,,,, Notes,1111," ""F left neat after prev brroding right away""", BarsObs
6/23/2021, 06:05:06, 00:07:56,476.915,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 06:05:06, 00:07:56,476.915,1.018,13.302," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:05:20, 00:08:10,490.218,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 06:05:20, 00:08:10,490.218,2.149,18.853," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:05:38, 00:08:29,509.071,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 06:05:38, 00:08:29,509.071,0.946,11.726," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:05:50, 00:08:40,520.796,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 06:05:50, 00:08:40,520.796,2.153,105.779," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:07:36, 00:10:26,626.575,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 06:07:36, 00:10:26,626.575,1.259,34.791," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:08:11, 00:11:01,661.366,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,1111," """"", BarsObs
6/23/2021, 06:08:11, 00:11:01,661.366,2.128,13.32," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,1111," """"", BarsObs
6/23/2021, 06:08:24, 00:11:14,674.686,0,0," ""AdLib"""," ""LogAdLibitum 20210623_055709.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,1111," """"", BarsObs
