Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,
7/19/2021, 13:15:26, 00:00:00,0,1.573,8.492," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:15:28, 00:00:02,2.041,0.932,270.837," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:15:31, 00:00:04,4.667,0.883,2973.676," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:15:35, 00:00:08,8.492,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:15:35, 00:00:08,8.492,1.715,16.316," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:15:51, 00:00:24,24.808,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:15:51, 00:00:24,24.808,1.332,223.279," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:19:34, 00:04:08,248.087,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:19:34, 00:04:08,248.087,1.792,17.9," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:19:52, 00:04:25,265.987,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:19:52, 00:04:25,265.987,1.391,10.791," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:19:59, 00:04:32,272.878,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:19:59, 00:04:32,272.878,2.031,17.482," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Near nest""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:20:03, 00:04:36,276.778,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:20:03, 00:04:36,276.778,3.849,21.024," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:20:17, 00:04:50,290.36,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Near nest""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:20:17, 00:04:50,290.36,1.958,551.33," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest """,,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:20:24, 00:04:57,297.802,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:20:24, 00:04:57,297.802,2.716,124.893," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:22:29, 00:07:02,422.695,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:22:29, 00:07:02,422.695,1.706,9.25," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:22:38, 00:07:11,431.945,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:22:38, 00:07:11,431.945,1.073,37.022," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:23:15, 00:07:48,468.967,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:23:15, 00:07:48,468.967,1.332,30.365," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:23:45, 00:08:19,499.332,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:23:45, 00:08:19,499.332,1.574,36.532," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:24:22, 00:08:55,535.864,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:24:22, 00:08:55,535.864,1.948,10.7," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:24:33, 00:09:06,546.564,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:24:33, 00:09:06,546.564,1.257,126.209," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:26:39, 00:11:12,672.772,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:26:39, 00:11:12,672.772,1.517,26," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:27:05, 00:11:38,698.772,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:27:05, 00:11:38,698.772,2.29,139.077," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:27:48, 00:12:21,741.986,6.909,6.909," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," """""," """"",,,,,,,,, Notes,7916," ""Hosp flew near nest """, Provisioning ,
7/19/2021, 13:29:24, 00:13:57,837.849,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:29:24, 00:13:57,837.849,2.739,60.729," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:29:28, 00:14:01,841.69,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest """,,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:29:28, 00:14:01,841.69,1.616,8.666," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:29:37, 00:14:10,850.356,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:29:37, 00:14:10,850.356,1.866,29.773," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:30:06, 00:14:40,880.129,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:30:06, 00:14:40,880.129,2.523,11.9," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:30:18, 00:14:52,892.029,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:30:18, 00:14:52,892.029,4.483,29.481," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:30:25, 00:14:58,898.578,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:30:25, 00:14:58,898.578,1.74,4.283," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Near nest""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:30:29, 00:15:02,902.862,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Near nest""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:30:29, 00:15:02,902.862,1.874,562.738," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest """,,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:30:48, 00:15:21,921.51,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:30:48, 00:15:21,921.51,3.883,52.34," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:31:40, 00:16:13,973.849,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:31:40, 00:16:13,973.849,7.099,65.413," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:32:45, 00:17:19,1039.263,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:32:45, 00:17:19,1039.263,1.415,37.33," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:33:23, 00:17:56,1076.593,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:33:23, 00:17:56,1076.593,1.617,51.566," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:34:14, 00:18:48,1128.158,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:34:14, 00:18:48,1128.158,1.824,8.849," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:34:23, 00:18:57,1137.007,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:34:23, 00:18:57,1137.007,1.316,10.224," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:34:33, 00:19:07,1147.231,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:34:33, 00:19:07,1147.231,1.342,33.77," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:35:07, 00:19:41,1181.001,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:35:07, 00:19:41,1181.001,2.415,664.923," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest """,,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:39:52, 00:24:25,1465.599,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest """,,,,,,, State stop,7916," """"", Provisioning ,
