Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme
1/20/2022, 16:44:20, 00:00:00,0,1.405,3600.268," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:44:22, 00:00:02,2.056,0.875,252.599," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:44:23, 00:00:03,3.439,3.541,40.285," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:45:04, 00:00:43,43.724,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:45:04, 00:00:43,43.724,1.383,15.932," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:45:20, 00:00:59,59.656,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:45:20, 00:00:59,59.656,3.991,9.876," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:45:30, 00:01:09,69.531,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:45:30, 00:01:09,69.531,2.341,6.908," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:45:36, 00:01:16,76.439,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:45:36, 00:01:16,76.439,1.088,227.854," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:48:35, 00:04:14,254.654,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:48:35, 00:04:14,254.654,3.407,20.416," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:48:55, 00:04:35,275.07,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:48:55, 00:04:35,275.07,1.365,27.623," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:49:23, 00:05:02,302.693,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:49:23, 00:05:02,302.693,0.858,742.038," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:49:24, 00:05:04,304.293,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:49:24, 00:05:04,304.293,6.241,15.392," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:49:40, 00:05:19,319.685,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:49:40, 00:05:19,319.685,1.482,9.557," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:49:49, 00:05:29,329.242,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:49:49, 00:05:29,329.242,3.616,9.933," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:49:59, 00:05:39,339.175,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:49:59, 00:05:39,339.175,4.691,14," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:50:13, 00:05:53,353.175,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:50:13, 00:05:53,353.175,1.074,119.636," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:52:13, 00:07:52,472.81,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:52:13, 00:07:52,472.81,1.723,17.04," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:52:30, 00:08:09,489.85,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:52:30, 00:08:09,489.85,1.441,11.081," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:52:41, 00:08:20,500.931,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:52:41, 00:08:20,500.931,2.125,35.589," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:53:17, 00:08:56,536.52,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:53:17, 00:08:56,536.52,0.876,198.241," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:56:35, 00:12:14,734.761,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:56:35, 00:12:14,734.761,1.508,14.367," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:56:49, 00:12:29,749.128,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:56:49, 00:12:29,749.128,1.025,130.86," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:59:00, 00:14:39,879.988,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:59:00, 00:14:39,879.988,2.532,7.775," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 16:59:08, 00:14:47,887.763,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 16:59:08, 00:14:47,887.763,1.181,192.726," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 17:01:45, 00:17:24,1044.731,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 17:01:45, 00:17:24,1044.731,2.207,24.966," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 17:01:54, 00:17:33,1053.703,5.537,5.537," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," """""," """"",,,,,,,,, Notes,7916," ""Prev male feed was fem""", Provisioning 
1/20/2022, 17:02:10, 00:17:49,1069.698,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 17:02:10, 00:17:49,1069.698,1.83,13.998," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 17:02:20, 00:18:00,1080.489,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 17:02:20, 00:18:00,1080.489,2.725,17.989," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 17:02:24, 00:18:03,1083.696,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 17:02:24, 00:18:03,1083.696,1.032,416.655," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 17:02:38, 00:18:18,1098.478,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning 
1/20/2022, 17:02:38, 00:18:18,1098.478,2.124,11.967," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning 
1/20/2022, 17:02:50, 00:18:30,1110.445,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20220120_164420.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning 
