Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,
10/13/2021, 11:41:09, 00:00:00,0,2.083,742.609," ""AdLib"""," ""Ad Libitum_Provisioning  - 20211013_114109.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
10/13/2021, 11:41:12, 00:00:02,2.592,1.115,1254.074," ""AdLib"""," ""Ad Libitum_Provisioning  - 20211013_114109.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning ,
10/13/2021, 11:41:14, 00:00:04,4.442,0.983,3590.865," ""AdLib"""," ""Ad Libitum_Provisioning  - 20211013_114109.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,7916," """"", Provisioning ,
10/13/2021, 11:53:32, 00:12:22,742.61,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20211013_114109.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
10/13/2021, 11:53:32, 00:12:22,742.61,2.882,41.007," ""AdLib"""," ""Ad Libitum_Provisioning  - 20211013_114109.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,
10/13/2021, 11:54:13, 00:13:03,783.616,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20211013_114109.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,
10/13/2021, 11:54:13, 00:13:03,783.616,1.915,471.692," ""AdLib"""," ""Ad Libitum_Provisioning  - 20211013_114109.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
10/13/2021, 12:02:05, 00:20:55,1255.308,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20211013_114109.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
10/13/2021, 12:02:05, 00:20:55,1255.308,0.866,44.547," ""AdLib"""," ""Ad Libitum_Provisioning  - 20211013_114109.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning ,
10/13/2021, 12:02:06, 00:20:56,1256.667,0,0," ""AdLib"""," ""Ad Libitum_Provisioning  - 20211013_114109.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,7916," """"", Provisioning ,
