Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme
6/19/2021, 06:30:12, 00:00:00,0,3.482,18.201," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,1111," """"", BarsObs
6/19/2021, 06:30:16, 00:00:04,4.099,1.709,475.515," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,1111," """"", BarsObs
6/19/2021, 06:30:19, 00:00:06,6.486,1.147,1964.624," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,1111," """"", BarsObs
6/19/2021, 06:30:30, 00:00:18,18.201,0,0," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,1111," """"", BarsObs
6/19/2021, 06:30:30, 00:00:18,18.201,1.512,5.369," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
6/19/2021, 06:30:36, 00:00:23,23.57,0,0," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
6/19/2021, 06:30:36, 00:00:23,23.57,1.124,203.766," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,1111," """"", BarsObs
6/19/2021, 06:32:42, 00:02:30,150.218,8.538,8.538," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," """""," """"",,,,,,,,, Notes,1111," ""Jays outside""", BarsObs
6/19/2021, 06:34:00, 00:03:47,227.336,0,0," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,1111," """"", BarsObs
6/19/2021, 06:34:00, 00:03:47,227.336,1.705,10.053," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
6/19/2021, 06:34:10, 00:03:57,237.39,0,0," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
6/19/2021, 06:34:10, 00:03:57,237.39,1.291,496.673," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,1111," """"", BarsObs
6/19/2021, 06:37:29, 00:07:16,436.512,2.965,2.965," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," """""," """"",,,,,,,,, Notes,1111," ""Ac""", BarsObs
6/19/2021, 06:38:12, 00:07:59,479.614,0,0," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,1111," """"", BarsObs
6/19/2021, 06:38:12, 00:07:59,479.614,1.568,2.863," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
6/19/2021, 06:38:15, 00:08:02,482.476,0,0," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
6/19/2021, 06:38:15, 00:08:02,482.476,1.522,218.674," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,1111," """"", BarsObs
6/19/2021, 06:41:12, 00:11:00,660.242,2.612,2.612," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," """""," """"",,,,,,,,, Notes,1111," ""Ac""", BarsObs
6/19/2021, 06:41:53, 00:11:41,701.151,0,0," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,1111," """"", BarsObs
6/19/2021, 06:41:53, 00:11:41,701.151,1.739,12.454," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
6/19/2021, 06:42:06, 00:11:53,713.605,0,0," ""AdLib"""," ""LogAdLibitum 20210619_063012.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
