"","female_band","male_band","nest","site","nest_id","obs_date","observer","obs_method","nestling_age","nestling_number","obs_state","blind_camera_distance","obs_start_time","obs_end_time","obs_duration","total_visits","female_visits","male_visits","total_feeding_visits","female_feeding_visits","male_feeding_visits","total_sanitizing_visits","female_sanitizing_visits","male_sanitizing_visits","total_an_duration","female_an_duration","male_an_duration","total_brooding_duration","female_brooding_duration","male_brooding_duration","tert_tot_visit","tert_tot_feed","tert_tot_time","tert_tot_brood","trial_temp","min_temp","max_temp","trial_humidity","wind_speed","wind_gust","cloud_cover","obs_max_temp","obs_avg_temp","obs_min_temp","obs_max_humid","obs_avg_humid","obs_min_humid","hours_low","hours_med","hours_high","hours_very_high","hours_in_day","devel_max_temp","devel_avg_temp","devel_min_temp","devel_max_humid","devel_avg_humid","devel_min_humid","devel_hours_low","devel_hours_med","devel_hours_high","devel_hours_very_high","devel_hours_in_stage","nest_max_temp","nest_avg_temp","nest_min_temp","nest_max_humid","nest_avg_humid","nest_min_humid","nest_hours_low","nest_hours_med","nest_hours_high","nest_hours_very_high","nest_hours_in_stage","avg_nestl_mass","avg_wing_chord","avg_nestl_growth","avg_wing_growth","brood_nos_mites","brood_mite_bin","notes_obs"
"1","2640-97398","2850-57907",68,"grizz","grizz 68",2021-06-05,"SAM, ZML","person",3,4,"early",6.17,"5:58","6:58",3603.402,15,8,7,9,3,6,0,0,0,3572.876,2985.696,587.18,3313.298,2884.63,428.668,1,1,3,3,14.8,13,35.6,53.6,4,5,"partly",16.3,15.45,14.7,58.8,56.925,55.3,8,3.25,3.25,9.5,24,35.5,21.8912621359223,10.3,75.5,46.9074433656958,21.4,34.25,9.25,11,22.75,77.25,37.9,24.0432203389831,10.3,75.5,40.0079661016949,15.2,91,49,53.5,101.5,295,2.29,7.25,2.29,7.25,0,"no","sat down at 5:33am, magpie in and out of barn a few times, sanitizing behavior not noted on d3 obs"
"2","2640-97398","2850-57907",68,"grizz","grizz 68",2021-06-10,"APP","camera",8,4,"mid",1.02,"6:05","7:05",3548.414,12,7,5,11,5,6,12,11,1,2609.266,1551.244,1058.022,1992.092,1174.341,817.751,2,2,2,2,15.1,14.8,36.2,49.8,3,5,"partly",16.3,16,15.5,56.3,55.175,53.3,5.75,4.5,3.5,10.25,24,36.5,25.0056842105263,13.7,64.9,39.0934736842105,17.5,29.75,21,23.25,44.75,118.75,37.9,24.0432203389831,10.3,75.5,40.0079661016949,15.2,91,49,53.5,101.5,295,8.3525,21.625,6.0625,14.375,0,"no",""
"3","2640-97398","2850-57907",68,"grizz","grizz 68",2021-06-14,"ZML","person",12,4,"late",5.84,"6:00","7:00",3609.452,20,10,9,18,9,9,6,3,3,1412.77,298.172,1100.684,138.288,138.288,0,1,2,3,3,17.4,14.8,37.9,60.2,0,0,"clear",18.3,17.875,17.4,63.3,62.525,61.8,6.5,2.5,4.25,10.75,24,37.9,24.5679292929293,11.5,63.3,35.7212121212121,15.2,27,18.75,19.25,34,99,37.9,24.0432203389831,10.3,75.5,40.0079661016949,15.2,91,49,53.5,101.5,295,12.8825,43.375,4.53,21.75,0,"no","habituation 5:45, unknown other probably female based on how it fed at 6:22"
"4","2850-57860","UNB",154,"grizz","grizz 154",2021-06-10,"APP","camera",3,5,"early",0.91,"6:05","7:05",3569.564,18,7,11,16,5,11,10,10,0,2783.001,1488.821,1294.18,2010.208,987.397,1022.811,2,3,1,1,14.4,14.1,36,50.8,3,5,"partly",16.3,15.7,14.9,55.7,54.7,53.1,6,4,3,11,24,36.7,24.8667752442997,13.2,62.2,37.8921824104235,18,24.75,10,11.25,30.75,76.75,40,25.9906858594412,10.7,63.4,35.6325148179509,15.9,68.5,50.75,52.25,123.75,295.25,3.418,9.4,3.418,9.4,0,"no",""
"5","2850-57860","UNB",154,"grizz","grizz 154",2021-06-15,"APP","camera",8,5,"mid",0.88,"6:05","7:05",3572.162,13,8,5,9,3,6,13,10,3,2516.237,1697.195,819.042,142.309,142.309,0,2,2,2,1,16.3,16.2,37.7,47.1,1,3,"clear",20,18.2,16.6,49.5,47.475,46.6,4.75,3.5,4,11.75,24,37.6,25.2946058091286,10.7,63.4,35.9045643153527,15.9,29.5,20.25,24,46.75,120.5,40,25.9906858594412,10.7,63.4,35.6325148179509,15.9,68.5,50.75,52.25,123.75,295.25,10.158,29,6.74,19.6,1,"yes",""
"6","2850-57860","UNB",154,"grizz","grizz 154",2021-06-19,"","camera",12,3,"late",0.93,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,16.7,36,54.5,0,0,"partly",NA,NA,NA,NA,NA,NA,3.5,4.75,5,10.75,24,40,27.7267857142857,16.2,55.8,33.5283163265306,16.2,14.25,20.5,17,46.25,98,40,25.9906858594412,10.7,63.4,35.6325148179509,15.9,68.5,50.75,52.25,123.75,295.25,12.9833333333333,46.5,2.82533333333333,17.5,0,"no","camera crashed, no d12 obs"
"7","2850-57711","2850-57473",1,"vanloon","vanloon 1",2021-06-10,"SAM","person",3,3,"early",0.97,"6:00","7:00",3602.468,22,11,11,18,8,10,14,14,0,3538.365,2219.113,1319.252,2860.116,1826.201,1033.915,3,3,3,2,15.1,14.3,29.7,50.4,0,0,"partly",14.9,14.72,14.6,56.2,53.92,52.5,7.25,4.75,5.5,6.5,24,30,21.6770967741935,13.1,70.2,47.0522580645161,26.4,30.5,13.25,21.25,12.5,77.5,34.7,23.5229923922232,11.3,70.2,42.3950972104818,18.8,80,59.25,78.25,78.25,295.75,3.76,8.83333333333333,3.76,8.83333333333333,0,"no","not possible to score GFN modifiers"
"8","2850-57711","2850-57473",1,"vanloon","vanloon 1",2021-06-15,"SAM","person",8,3,"mid",1.24,"6:20","7:20",3604.352,20,11,9,16,8,8,21,19,2,2492.243,1658.807,833.436,1101.383,852.183,249.2,3,2,2,2,17.5,17.4,33.3,51.2,0,0,"clear",17.2,17.05,17,59.8,58.05,56.5,3.75,5.75,5.5,9,24,33.3,23.0589473684211,11.3,70,42.4513684210526,20.1,33,25.25,32,28.5,118.75,34.7,23.5229923922232,11.3,70.2,42.3950972104818,18.8,80,59.25,78.25,78.25,295.75,13.01,29,9.25,20.1666666666667,16,"yes","not possible to score GFN modifiers"
"9","2850-57711","2850-57473",1,"vanloon","vanloon 1",2021-06-19,"SAM","person",12,3,"late",1.32,"6:30","7:30",3604.423,23,13,9,22,12,9,9,9,0,976.218,884.209,89.25,0,0,0,2,2,3,1,18.4,18.4,30.9,53.2,0,0,"partly",18.4,18.18,18,62.9,59.1,55.3,2.75,5.75,8.5,7,24,34.7,25.5145728643216,17,64.6,38.7005025125628,18.8,16.5,20.75,25,37.25,99.5,34.7,23.5229923922232,11.3,70.2,42.3950972104818,18.8,80,59.25,78.25,78.25,295.75,17.7966666666667,52.8333333333333,4.78666666666667,23.8333333333333,25,"yes","not possible to score GFN modifiers"
"10","2850-57520","UNB",156,"grizz","grizz 156",2021-06-12,"ZML","person",4,4,"early",5.33,"5:45","6:45",3693.106,19,9,10,11,3,8,21,20,1,3320.04,2354.163,965.877,2788.802,2143.267,645.535,3,2,2,2,10.9,10.9,31.7,48.5,0,0,"clear",12.6,11.4,10.7,51.9,50.28,48.7,4.75,8.25,6,5,24,36.2,24.3137254901961,11.7,58.5,31.5160130718954,14.8,22.5,14.25,14,25.75,76.5,40.1,25.8489847715736,10.7,65.5,35.6225042301184,14.8,63.25,60.75,54.25,117.25,295.5,5.1025,11.125,5.1025,11.125,0,"no",""
