"","female_band","male_band","nest","site","num_pairs","nest_id","obs_date","observer","obs_method","nestling_age","nestling_number","obs_state","blind_camera_distance","obs_start_time","obs_end_time","obs_duration","total_visits","female_visits","male_visits","total_feeding_visits","female_feeding_visits","male_feeding_visits","total_sanitizing_visits","female_sanitizing_visits","male_sanitizing_visits","total_an_duration","female_an_duration","male_an_duration","total_brooding_duration","female_brooding_duration","male_brooding_duration","tert_tot_visit","tert_tot_feed","tert_tot_time","tert_tot_brood","trial_temp","min_temp","max_temp","trial_humidity","wind_speed","wind_gust","cloud_cover","obs_max_temp","obs_avg_temp","obs_min_temp","obs_med_temp","obs_sd_temp","obs_iqr_temp","obs_max_humid","obs_avg_humid","obs_min_humid","obs_sd_humid","hours_low","hours_med","hours_high","hours_very_high","hours_in_day","devel_max_temp","devel_avg_temp","devel_min_temp","devel_med_temp","devel_sd_temp","devel_iqr_temp","devel_max_humid","devel_avg_humid","devel_min_humid","devel_sd_humid","devel_hours_low","devel_hours_med","devel_hours_high","devel_hours_very_high","devel_hours_in_stage","thermo_bef_max_temp","thermo_bef_avg_temp","thermo_bef_min_temp","thermo_bef_med_temp","thermo_bef_sd_temp","thermo_bef_iqr_temp","thermo_bef_max_humid","thermo_bef_avg_humid","thermo_bef_min_humid","thermo_bef_sd_humid","thermo_aft_max_temp","thermo_aft_avg_temp","thermo_aft_min_temp","thermo_aft_med_temp","thermo_aft_sd_temp","thermo_aft_iqr_temp","thermo_aft_max_humid","thermo_aft_avg_humid","thermo_aft_min_humid","thermo_aft_sd_humid","thermo_bef_max_temp_5","thermo_bef_avg_temp_5","thermo_bef_min_temp_5","thermo_bef_med_temp_5","thermo_bef_sd_temp_5","thermo_bef_iqr_temp_5","thermo_bef_max_humid_5","thermo_bef_avg_humid_5","thermo_bef_min_humid_5","thermo_bef_sd_humid_5","thermo_aft_max_temp_5","thermo_aft_avg_temp_5","thermo_aft_min_temp_5","thermo_aft_med_temp_5","thermo_aft_sd_temp_5","thermo_aft_iqr_temp_5","thermo_aft_max_humid_5","thermo_aft_avg_humid_5","thermo_aft_min_humid_5","thermo_aft_sd_humid_5","thermo_bef_max_temp_7","thermo_bef_avg_temp_7","thermo_bef_min_temp_7","thermo_bef_med_temp_7","thermo_bef_sd_temp_7","thermo_bef_iqr_temp_7","thermo_bef_max_humid_7","thermo_bef_avg_humid_7","thermo_bef_min_humid_7","thermo_bef_sd_humid_7","thermo_aft_max_temp_7","thermo_aft_avg_temp_7","thermo_aft_min_temp_7","thermo_aft_med_temp_7","thermo_aft_sd_temp_7","thermo_aft_iqr_temp_7","thermo_aft_max_humid_7","thermo_aft_avg_humid_7","thermo_aft_min_humid_7","thermo_aft_sd_humid_7","nest_max_temp","nest_avg_temp","nest_min_temp","nest_med_temp","nest_sd_temp","nest_iqr_temp","nest_max_humid","nest_avg_humid","nest_min_humid","nest_sd_humid","nest_hours_low","nest_hours_med","nest_hours_high","nest_hours_very_high","nest_hours_in_stage","avg_nestl_mass","avg_wing_chord","avg_nestl_growth","avg_wing_growth","brood_nos_mites","brood_mite_bin","notes_obs"
"1","2640-97398","2850-57907",68,"grizz","17","grizz 68",2021-06-05,"SAM, ZML","person",3,4,"early",6.17,"5:58","6:58",3603.402,15,8,7,9,3,6,0,0,0,3572.876,2985.696,587.18,3313.298,2884.63,428.668,1,1,3,3,14.8,13,35.6,53.6,4,5,"partly",16.3,15.45,14.7,15.4,0.700000000000001,0.849999999999998,58.8,56.925,55.3,1.61322658049017,8,3.25,3.25,9.5,24,35.5,21.8912621359223,10.3,20.6,7.76806783874185,14,75.5,46.9074433656958,21.4,13.9532397299652,34.25,9.25,11,22.75,77.25,36.5,23.5956845238095,10.3,23.6,7.19486667945972,12.325,75.5,43.3879464285714,18,12.5613731703819,37.9,24.6352362204724,11.5,23.75,7.0087124242239,12.5,63.3,35.5368110236221,15.2,11.5073222237435,35.5,23.2524305555556,10.3,23.3,7.09620309954216,12.125,75.5,44.3522569444444,21.4,12.4600898221323,37.9,24.7973509933775,11.5,24.05,7.08794737185958,12.825,63.3,35.8650662251656,15.2,11.5424138826213,36.5,23.886328125,10.3,23.8,7.24647344390972,12.525,75.5,42.1678385416667,17.5,12.642383116449,37.9,24.3356796116505,11.5,23.45,6.9096014704933,11.875,63.3,35.9817961165049,15.2,11.8787296328644,37.9,24.0432203389831,10.3,23.7,7.13094391521158,12.325,75.5,40.0079661016949,15.2,12.7228106581096,91,49,53.5,101.5,295,2.29,7.25,2.29,7.25,0,"no","sat down at 5:33am, magpie in and out of barn a few times, sanitizing behavior not noted on d3 obs"
"2","2640-97398","2850-57907",68,"grizz","17","grizz 68",2021-06-10,"APP","camera",8,4,"mid",1.02,"6:05","7:05",3548.414,12,7,5,11,5,6,12,11,1,2609.266,1551.244,1058.022,1992.092,1174.341,817.751,2,2,2,2,15.1,14.8,36.2,49.8,3,5,"partly",16.3,16,15.5,16.1,0.355902608401044,0.349999999999998,56.3,55.175,53.3,1.37446959466795,5.75,4.5,3.5,10.25,24,36.5,25.0056842105263,13.7,24.9,6.55052976448663,11.55,64.9,39.0934736842105,17.5,10.4093849419688,29.75,21,23.25,44.75,118.75,36.5,23.5956845238095,10.3,23.6,7.19486667945972,12.325,75.5,43.3879464285714,18,12.5613731703819,37.9,24.6352362204724,11.5,23.75,7.0087124242239,12.5,63.3,35.5368110236221,15.2,11.5073222237435,35.5,23.2524305555556,10.3,23.3,7.09620309954216,12.125,75.5,44.3522569444444,21.4,12.4600898221323,37.9,24.7973509933775,11.5,24.05,7.08794737185958,12.825,63.3,35.8650662251656,15.2,11.5424138826213,36.5,23.886328125,10.3,23.8,7.24647344390972,12.525,75.5,42.1678385416667,17.5,12.642383116449,37.9,24.3356796116505,11.5,23.45,6.9096014704933,11.875,63.3,35.9817961165049,15.2,11.8787296328644,37.9,24.0432203389831,10.3,23.7,7.13094391521158,12.325,75.5,40.0079661016949,15.2,12.7228106581096,91,49,53.5,101.5,295,8.3525,21.625,6.0625,14.375,0,"no",""
"3","2640-97398","2850-57907",68,"grizz","17","grizz 68",2021-06-14,"ZML","person",12,4,"late",5.84,"6:00","7:00",3609.452,20,10,9,18,9,9,6,3,3,1412.77,298.172,1100.684,138.288,138.288,0,1,2,3,3,17.4,14.8,37.9,60.2,0,0,"clear",18.3,17.875,17.4,17.9,0.403112887414929,0.525000000000002,63.3,62.525,61.8,0.634428877022477,6.5,2.5,4.25,10.75,24,37.9,24.5679292929293,11.5,24,6.94424499035907,11.9,63.3,35.7212121212121,15.2,12.0269004201796,27,18.75,19.25,34,99,36.5,23.5956845238095,10.3,23.6,7.19486667945972,12.325,75.5,43.3879464285714,18,12.5613731703819,37.9,24.6352362204724,11.5,23.75,7.0087124242239,12.5,63.3,35.5368110236221,15.2,11.5073222237435,35.5,23.2524305555556,10.3,23.3,7.09620309954216,12.125,75.5,44.3522569444444,21.4,12.4600898221323,37.9,24.7973509933775,11.5,24.05,7.08794737185958,12.825,63.3,35.8650662251656,15.2,11.5424138826213,36.5,23.886328125,10.3,23.8,7.24647344390972,12.525,75.5,42.1678385416667,17.5,12.642383116449,37.9,24.3356796116505,11.5,23.45,6.9096014704933,11.875,63.3,35.9817961165049,15.2,11.8787296328644,37.9,24.0432203389831,10.3,23.7,7.13094391521158,12.325,75.5,40.0079661016949,15.2,12.7228106581096,91,49,53.5,101.5,295,12.8825,43.375,4.53,21.75,0,"no","habituation 5:45, unknown other probably female based on how it fed at 6:22"
"4","2850-57860","UNB",154,"grizz","17","grizz 154",2021-06-10,"APP","camera",3,5,"early",0.91,"6:05","7:05",3569.564,18,7,11,16,5,11,10,10,0,2783.001,1488.821,1294.18,2010.208,987.397,1022.811,2,3,1,1,14.4,14.1,36,50.8,3,5,"partly",16.3,15.7,14.9,15.8,0.632455532033676,0.800000000000002,55.7,54.7,53.1,1.16332855777434,6,4,3,11,24,36.7,24.8667752442997,13.2,24.8,7.62376339645564,14.9,62.2,37.8921824104235,18,11.0994820048989,24.75,10,11.25,30.75,76.75,36.7,24.6743500866551,10.7,24.9,7.24168109670629,13.4,62.2,34.6899480069324,15.9,11.2014741789648,40,27.248178807947,14.2,26.55,7.44476487479243,14.525,63.4,36.5329470198675,16.2,10.5767442844611,36.7,24.9049896049896,13.2,24.9,6.99927794266249,12.8,62.2,34.5893970893971,15.9,11.5135677142553,40,26.7367142857143,10.7,26.25,7.66900441215256,13.8,63.4,36.3492857142857,16.2,10.4421582547366,37.1,24.9594353640416,10.7,25.2,7.38873243138609,13.6,62.2,35.5748885586924,15.9,11.0390584711526,40,27.3568897637795,16.2,26.25,7.32882045367888,14.325,63.4,35.7088582677165,16.2,10.772458320177,40,25.9906858594412,10.7,25.7,7.4550879875478,13.6,63.4,35.6325148179509,15.9,10.9207822184838,68.5,50.75,52.25,123.75,295.25,3.418,9.4,3.418,9.4,0,"no",""
"5","2850-57860","UNB",154,"grizz","17","grizz 154",2021-06-15,"APP","camera",8,5,"mid",0.88,"6:05","7:05",3572.162,13,8,5,9,3,6,13,10,3,2516.237,1697.195,819.042,142.309,142.309,0,2,2,2,1,16.3,16.2,37.7,47.1,1,3,"clear",20,18.2,16.6,18.1,1.47648230602334,1.75,49.5,47.475,46.6,1.35984067694222,4.75,3.5,4,11.75,24,37.6,25.2946058091286,10.7,25.2,7.25096394410556,12.575,63.4,35.9045643153527,15.9,11.6279441498839,29.5,20.25,24,46.75,120.5,36.7,24.6743500866551,10.7,24.9,7.24168109670629,13.4,62.2,34.6899480069324,15.9,11.2014741789648,40,27.248178807947,14.2,26.55,7.44476487479243,14.525,63.4,36.5329470198675,16.2,10.5767442844611,36.7,24.9049896049896,13.2,24.9,6.99927794266249,12.8,62.2,34.5893970893971,15.9,11.5135677142553,40,26.7367142857143,10.7,26.25,7.66900441215256,13.8,63.4,36.3492857142857,16.2,10.4421582547366,37.1,24.9594353640416,10.7,25.2,7.38873243138609,13.6,62.2,35.5748885586924,15.9,11.0390584711526,40,27.3568897637795,16.2,26.25,7.32882045367888,14.325,63.4,35.7088582677165,16.2,10.772458320177,40,25.9906858594412,10.7,25.7,7.4550879875478,13.6,63.4,35.6325148179509,15.9,10.9207822184838,68.5,50.75,52.25,123.75,295.25,10.158,29,6.74,19.6,1,"yes",""
"6","2850-57860","UNB",154,"grizz","17","grizz 154",2021-06-19,"","camera",12,3,"late",0.93,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,16.7,36,54.5,0,0,"partly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.75,5,10.75,24,40,27.7267857142857,16.2,27.15,7.27695601709123,13.825,55.8,33.5283163265306,16.2,9.41481062213026,14.25,20.5,17,46.25,98,36.7,24.6743500866551,10.7,24.9,7.24168109670629,13.4,62.2,34.6899480069324,15.9,11.2014741789648,40,27.248178807947,14.2,26.55,7.44476487479243,14.525,63.4,36.5329470198675,16.2,10.5767442844611,36.7,24.9049896049896,13.2,24.9,6.99927794266249,12.8,62.2,34.5893970893971,15.9,11.5135677142553,40,26.7367142857143,10.7,26.25,7.66900441215256,13.8,63.4,36.3492857142857,16.2,10.4421582547366,37.1,24.9594353640416,10.7,25.2,7.38873243138609,13.6,62.2,35.5748885586924,15.9,11.0390584711526,40,27.3568897637795,16.2,26.25,7.32882045367888,14.325,63.4,35.7088582677165,16.2,10.772458320177,40,25.9906858594412,10.7,25.7,7.4550879875478,13.6,63.4,35.6325148179509,15.9,10.9207822184838,68.5,50.75,52.25,123.75,295.25,12.9833333333333,46.5,2.82533333333333,17.5,0,"no","camera crashed, no d12 obs"
"7","2850-57711","2850-57473",1,"vanloon","3","vanloon 1",2021-06-10,"SAM","person",3,3,"early",0.97,"6:00","7:00",3602.468,22,11,11,18,8,10,14,14,0,3538.365,2219.113,1319.252,2860.116,1826.201,1033.915,3,3,3,2,15.1,14.3,29.7,50.4,0,0,"partly",14.9,14.72,14.6,14.7,0.130384048104053,0.200000000000001,56.2,53.92,52.5,1.37003649586425,7.25,4.75,5.5,6.5,24,30,21.6770967741935,13.1,21.45,5.27390455108029,9.675,70.2,47.0522580645161,26.4,10.495601393266,30.5,13.25,21.25,12.5,77.5,30.3,21.7604852686308,11.3,21.9,5.29947898777637,9.3,70.2,43.0398613518198,20.1,11.6995832657345,34.7,25.2011551155116,15.4,25,5.37547064115468,9.875,70,41.7811881188119,18.8,10.840464869462,30.3,21.9218295218295,13.1,22,4.98854120084653,8.7,70.2,43.3484407484408,20.1,12.4166522368955,34.7,24.6200854700855,11.3,24.55,5.74474228328707,9.9,70,41.7418803418803,18.8,10.3895871770208,32.8,22.1008915304606,11.3,22.2,5.43572555407544,9.5,70.2,43.8974739970282,20.1,11.5283582614808,34.7,25.3996078431373,17,24.95,5.27156808751567,9.7,64.6,40.4125490196078,18.8,10.635395151661,34.7,23.5229923922232,11.3,23.5,5.60679991182235,9.55,70.2,42.3950972104818,18.8,11.2804681070376,80,59.25,78.25,78.25,295.75,3.76,8.83333333333333,3.76,8.83333333333333,0,"no","not possible to score GFN modifiers"
"8","2850-57711","2850-57473",1,"vanloon","3","vanloon 1",2021-06-15,"SAM","person",8,3,"mid",1.24,"6:20","7:20",3604.352,20,11,9,16,8,8,21,19,2,2492.243,1658.807,833.436,1101.383,852.183,249.2,3,2,2,2,17.5,17.4,33.3,51.2,0,0,"clear",17.2,17.05,17,17,0.0999999999999996,0.0500000000000007,59.8,58.05,56.5,1.4247806848775,3.75,5.75,5.5,9,24,33.3,23.0589473684211,11.3,23.1,5.54997804262282,9.25,70,42.4513684210526,20.1,11.3039579538784,33,25.25,32,28.5,118.75,30.3,21.7604852686308,11.3,21.9,5.29947898777637,9.3,70.2,43.0398613518198,20.1,11.6995832657345,34.7,25.2011551155116,15.4,25,5.37547064115468,9.875,70,41.7811881188119,18.8,10.840464869462,30.3,21.9218295218295,13.1,22,4.98854120084653,8.7,70.2,43.3484407484408,20.1,12.4166522368955,34.7,24.6200854700855,11.3,24.55,5.74474228328707,9.9,70,41.7418803418803,18.8,10.3895871770208,32.8,22.1008915304606,11.3,22.2,5.43572555407544,9.5,70.2,43.8974739970282,20.1,11.5283582614808,34.7,25.3996078431373,17,24.95,5.27156808751567,9.7,64.6,40.4125490196078,18.8,10.635395151661,34.7,23.5229923922232,11.3,23.5,5.60679991182235,9.55,70.2,42.3950972104818,18.8,11.2804681070376,80,59.25,78.25,78.25,295.75,13.01,29,9.25,20.1666666666667,16,"yes","not possible to score GFN modifiers"
"9","2850-57711","2850-57473",1,"vanloon","3","vanloon 1",2021-06-19,"SAM","person",12,3,"late",1.32,"6:30","7:30",3604.423,23,13,9,22,12,9,9,9,0,976.218,884.209,89.25,0,0,0,2,2,3,1,18.4,18.4,30.9,53.2,0,0,"partly",18.4,18.18,18,18.2,0.148323969741913,0.0999999999999979,62.9,59.1,55.3,3.29013677527242,2.75,5.75,8.5,7,24,34.7,25.5145728643216,17,25.3,5.31752377869576,9.7,64.6,38.7005025125628,18.8,10.4849946636596,16.5,20.75,25,37.25,99.5,30.3,21.7604852686308,11.3,21.9,5.29947898777637,9.3,70.2,43.0398613518198,20.1,11.6995832657345,34.7,25.2011551155116,15.4,25,5.37547064115468,9.875,70,41.7811881188119,18.8,10.840464869462,30.3,21.9218295218295,13.1,22,4.98854120084653,8.7,70.2,43.3484407484408,20.1,12.4166522368955,34.7,24.6200854700855,11.3,24.55,5.74474228328707,9.9,70,41.7418803418803,18.8,10.3895871770208,32.8,22.1008915304606,11.3,22.2,5.43572555407544,9.5,70.2,43.8974739970282,20.1,11.5283582614808,34.7,25.3996078431373,17,24.95,5.27156808751567,9.7,64.6,40.4125490196078,18.8,10.635395151661,34.7,23.5229923922232,11.3,23.5,5.60679991182235,9.55,70.2,42.3950972104818,18.8,11.2804681070376,80,59.25,78.25,78.25,295.75,17.7966666666667,52.8333333333333,4.78666666666667,23.8333333333333,25,"yes","not possible to score GFN modifiers"
"10","2850-57520","UNB",156,"grizz","17","grizz 156",2021-06-12,"ZML","person",4,4,"early",5.33,"5:45","6:45",3693.106,19,9,10,11,3,8,21,20,1,3320.04,2354.163,965.877,2788.802,2143.267,645.535,3,2,2,2,10.9,10.9,31.7,48.5,0,0,"clear",12.6,11.4,10.7,11.2,0.777817459305202,0.899999999999999,51.9,50.28,48.7,1.26767503722366,4.75,8.25,6,5,24,36.2,24.3137254901961,11.7,23.45,7.1258297999259,12.275,58.5,31.5160130718954,14.8,10.6224586601556,22.5,14.25,14,25.75,76.5,38.6,25.4187175043328,10.7,25,7.57213892738919,13.5,64.3,35.249740034662,14.8,11.7840996377567,40.1,26.2593388429752,15,25.2,6.92391715008351,11.5,65.5,35.9780165289256,15.7,10.734179612498,38,24.9968814968815,10.7,24.9,7.5116056486842,13.1,58.5,33.7363825363825,14.8,10.8448291543341,40.1,26.4336661911555,15,25.3,7.0222712522261,12,65.5,36.9166904422254,15.7,11.3640494996801,39.7,25.8291233283804,10.7,25.4,7.69750550800578,13.9,64.3,35.3005943536404,14.8,11.4019891593123,40.1,25.8752455795678,15,24.9,6.63642835326331,10.9,65.5,36.0481335952849,15.7,11.0663523789116,40.1,25.8489847715736,10.7,25.1,7.25670082359201,12.5,65.5,35.6225042301184,14.8,11.2600445848918,63.25,60.75,54.25,117.25,295.5,5.1025,11.125,5.1025,11.125,0,"no",""
