Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-06-23 08:30:00,20.4,52.1
2021-06-23 08:45:00,24.9,43.8
2021-06-23 09:00:00,25.9,43.4
2021-06-23 09:15:00,26.1,41.3
2021-06-23 09:30:00,26.5,40.8
2021-06-23 09:45:00,26.6,40.3
2021-06-23 10:00:00,27,40.3
2021-06-23 10:15:00,27.3,39.8
2021-06-23 10:30:00,27.9,37.6
2021-06-23 10:45:00,28.2,37.5
2021-06-23 11:00:00,28.8,37.1
2021-06-23 11:15:00,29.6,36.5
2021-06-23 11:30:00,30.2,34.7
2021-06-23 11:45:00,30.6,33.6
2021-06-23 12:00:00,30.9,32.4
2021-06-23 12:15:00,31.3,29.3
2021-06-23 12:30:00,31.4,28.1
2021-06-23 12:45:00,32,24.3
2021-06-23 13:00:00,32.6,23.4
2021-06-23 13:15:00,32.6,22.5
2021-06-23 13:30:00,32.1,21.7
2021-06-23 13:45:00,31.8,20.6
2021-06-23 14:00:00,32,20.7
2021-06-23 14:15:00,31.9,21.4
2021-06-23 14:30:00,31.7,20.4
2021-06-23 14:45:00,31.7,20.2
2021-06-23 15:00:00,31.4,19.4
2021-06-23 15:15:00,31.1,19.9
2021-06-23 15:30:00,30.8,19.7
2021-06-23 15:45:00,30.7,20.8
2021-06-23 16:00:00,30.6,20.7
2021-06-23 16:15:00,30.5,21.4
2021-06-23 16:30:00,30.8,21.6
2021-06-23 16:45:00,30.9,20.5
2021-06-23 17:00:00,30.7,19.1
2021-06-23 17:15:00,30.4,18.2
2021-06-23 17:30:00,30.2,18
2021-06-23 17:45:00,30,19.7
2021-06-23 18:00:00,29.9,18.7
2021-06-23 18:15:00,29.7,18.8
2021-06-23 18:30:00,29.5,20.1
2021-06-23 18:45:00,29.3,20.8
2021-06-23 19:00:00,29.1,19.5
2021-06-23 19:15:00,28.9,19
2021-06-23 19:30:00,28.7,18.5
2021-06-23 19:45:00,28.7,19.6
2021-06-23 20:00:00,28.6,20.1
2021-06-23 20:15:00,28.4,20.2
2021-06-23 20:30:00,28.2,20.7
2021-06-23 20:45:00,28.1,20.9
2021-06-23 21:00:00,28,20.9
2021-06-23 21:15:00,27.9,21.1
2021-06-23 21:30:00,27.9,21.4
2021-06-23 21:45:00,27.9,21.6
2021-06-23 22:00:00,27.8,21.8
2021-06-23 22:15:00,27.6,22.2
2021-06-23 22:30:00,27.3,22.9
2021-06-23 22:45:00,27.1,23.1
2021-06-23 23:00:00,27,23.1
2021-06-23 23:15:00,26.8,23.6
2021-06-23 23:30:00,26.6,24.4
2021-06-23 23:45:00,26.5,24.9
2021-06-24 00:00:00,26.2,25.2
2021-06-24 00:15:00,26,25.1
2021-06-24 00:30:00,25.9,24.8
2021-06-24 00:45:00,25.8,25
2021-06-24 01:00:00,25.7,26.7
2021-06-24 01:15:00,25.6,27.2
2021-06-24 01:30:00,25.4,27.4
2021-06-24 01:45:00,25.2,27.8
2021-06-24 02:00:00,25,29.1
2021-06-24 02:15:00,24.7,31.6
2021-06-24 02:30:00,24,35.3
2021-06-24 02:45:00,23.7,35
2021-06-24 03:00:00,23.6,35.2
2021-06-24 03:15:00,23.4,35.7
2021-06-24 03:30:00,23.2,36.4
2021-06-24 03:45:00,22.9,36.6
2021-06-24 04:00:00,22.8,37.1
2021-06-24 04:15:00,22.7,37
2021-06-24 04:30:00,22.6,37.7
2021-06-24 04:45:00,22.5,37.6
2021-06-24 05:00:00,22.4,38.2
2021-06-24 05:15:00,22.2,38.5
2021-06-24 05:30:00,22.1,39
2021-06-24 05:45:00,22,38.8
2021-06-24 06:00:00,21.8,39
2021-06-24 06:15:00,21.7,39.5
2021-06-24 06:30:00,21.8,40
2021-06-24 06:45:00,21.7,41
2021-06-24 07:00:00,21.7,41.4
2021-06-24 07:15:00,22.4,42.6
2021-06-24 07:30:00,23,42.5
2021-06-24 07:45:00,24.1,42.1
2021-06-24 08:00:00,24.8,41.2
2021-06-24 08:15:00,25.1,39.6
2021-06-24 08:30:00,25,40.7
2021-06-24 08:45:00,25.3,40
2021-06-24 09:00:00,25.9,40.3
2021-06-24 09:15:00,27.1,38
2021-06-24 09:30:00,27.3,34.8
2021-06-24 09:45:00,26.7,34.9
2021-06-24 10:00:00,26.4,35.8
2021-06-24 10:15:00,26.6,34.9
2021-06-24 10:30:00,26.8,34.2
2021-06-24 10:45:00,27.7,34
2021-06-24 11:00:00,28.6,33.9
2021-06-24 11:15:00,29.1,31.5
2021-06-24 11:30:00,29.3,31
2021-06-24 11:45:00,28.9,31.7
2021-06-24 12:00:00,28.7,31.5
2021-06-24 12:15:00,28.7,31.8
2021-06-24 12:30:00,28.9,30.9
2021-06-24 12:45:00,28.8,29.8
2021-06-24 13:00:00,28.8,29.8
2021-06-24 13:15:00,28.8,29.2
2021-06-24 13:30:00,29,30
2021-06-24 13:45:00,29,30.1
2021-06-24 14:00:00,29,30.5
2021-06-24 14:15:00,28.9,30.1
2021-06-24 14:30:00,29,29.9
2021-06-24 14:45:00,29.2,29.5
2021-06-24 15:00:00,29.2,30
2021-06-24 15:15:00,28.9,30.2
2021-06-24 15:30:00,28.8,30.2
2021-06-24 15:45:00,28.7,30.6
2021-06-24 16:00:00,28.7,30.5
2021-06-24 16:15:00,28.5,30.2
2021-06-24 16:30:00,28.2,29.8
2021-06-24 16:45:00,28,30.4
2021-06-24 17:00:00,27.8,32.2
2021-06-24 17:15:00,27.2,30.9
2021-06-24 17:30:00,26.3,30.9
2021-06-24 17:45:00,25.7,31.4
2021-06-24 18:00:00,25,32.3
2021-06-24 18:15:00,24.4,33.6
2021-06-24 18:30:00,24,36.1
2021-06-24 18:45:00,23.5,39
2021-06-24 19:00:00,22.9,40.3
2021-06-24 19:15:00,22.9,39.7
2021-06-24 19:30:00,22.6,40.1
2021-06-24 19:45:00,22.5,39.7
2021-06-24 20:00:00,22.6,39.6
2021-06-24 20:15:00,22.5,39.7
2021-06-24 20:30:00,22.5,39.7
2021-06-24 20:45:00,22.4,39.7
2021-06-24 21:00:00,22.3,39.7
2021-06-24 21:15:00,22,41.1
2021-06-24 21:30:00,21.7,42.2
2021-06-24 21:45:00,21.5,43.4
2021-06-24 22:00:00,21.4,43.7
2021-06-24 22:15:00,21.4,44.6
2021-06-24 22:30:00,21.2,45.6
2021-06-24 22:45:00,21.1,45.8
2021-06-24 23:00:00,20.8,46.6
2021-06-24 23:15:00,20.6,47.7
2021-06-24 23:30:00,20.5,48
2021-06-24 23:45:00,20.4,49.1
2021-06-25 00:00:00,20.1,51.4
2021-06-25 00:15:00,20,49.4
2021-06-25 00:30:00,20.1,50.5
2021-06-25 00:45:00,20,51.7
2021-06-25 01:00:00,19.9,52.1
2021-06-25 01:15:00,19.9,52.6
2021-06-25 01:30:00,19.8,53.3
2021-06-25 01:45:00,19.5,54.2
2021-06-25 02:00:00,19.3,55.2
2021-06-25 02:15:00,19.2,55.1
2021-06-25 02:30:00,19.2,54
2021-06-25 02:45:00,19.1,53.5
2021-06-25 03:00:00,19,53.3
2021-06-25 03:15:00,18.9,53
2021-06-25 03:30:00,18.7,52.9
2021-06-25 03:45:00,18.5,53.4
2021-06-25 04:00:00,18.4,53.3
2021-06-25 04:15:00,18.3,53.5
2021-06-25 04:30:00,18.2,53.3
2021-06-25 04:45:00,18.1,53.5
2021-06-25 05:00:00,18,53.3
2021-06-25 05:15:00,17.9,53.1
2021-06-25 05:30:00,17.6,54.3
2021-06-25 05:45:00,17.4,54.7
2021-06-25 06:00:00,17.2,54.4
2021-06-25 06:15:00,17.2,55.1
2021-06-25 06:30:00,17.8,55
2021-06-25 06:45:00,18.7,56.3
2021-06-25 07:00:00,18.6,56.2
2021-06-25 07:15:00,19.8,56.3
2021-06-25 07:30:00,20.7,55.9
2021-06-25 07:45:00,20.7,53.9
2021-06-25 08:00:00,20.4,53.8
2021-06-25 08:15:00,20.2,54.5
2021-06-25 08:30:00,20.4,54.4
2021-06-25 08:45:00,20.3,54.5
