Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-07-06 07:40:00,22.9,62.6
2021-07-06 07:55:00,23.1,59.8
2021-07-06 08:10:00,23.2,57.2
2021-07-06 08:25:00,23.7,56.2
2021-07-06 08:40:00,24.1,53.7
2021-07-06 08:55:00,24.6,52.8
2021-07-06 09:10:00,25.1,49.9
2021-07-06 09:25:00,25.6,49.4
2021-07-06 09:40:00,25.8,48.9
2021-07-06 09:55:00,26.3,47.6
2021-07-06 10:10:00,26.6,47.7
2021-07-06 10:25:00,27,47.4
2021-07-06 10:40:00,27.4,45.9
2021-07-06 10:55:00,27.8,46.5
2021-07-06 11:10:00,28.1,46
2021-07-06 11:25:00,28.3,46.7
2021-07-06 11:40:00,28.4,44.3
2021-07-06 11:55:00,28.5,44.4
2021-07-06 12:10:00,28.8,44.5
2021-07-06 12:25:00,29.1,43.8
2021-07-06 12:40:00,29.3,42.4
2021-07-06 12:55:00,29.5,44.4
2021-07-06 13:10:00,29.8,43.1
2021-07-06 13:25:00,29.8,42.8
2021-07-06 13:40:00,30,43
2021-07-06 13:55:00,30,40.3
2021-07-06 14:10:00,30.2,42.1
2021-07-06 14:25:00,30.1,40.3
2021-07-06 14:40:00,30.3,40.7
2021-07-06 14:55:00,30.2,40.1
2021-07-06 15:10:00,30.1,40.4
2021-07-06 15:25:00,30.1,40.7
2021-07-06 15:40:00,29.8,41
2021-07-06 15:55:00,29.7,40.2
2021-07-06 16:10:00,29.7,40
2021-07-06 16:25:00,29.9,40.2
2021-07-06 16:40:00,29.7,39.6
2021-07-06 16:55:00,29.8,39.1
2021-07-06 17:10:00,29.7,38.9
2021-07-06 17:25:00,29.3,39.3
2021-07-06 17:40:00,29.4,40.4
2021-07-06 17:55:00,29.3,39.2
2021-07-06 18:10:00,29,39.2
2021-07-06 18:25:00,28.5,40.4
2021-07-06 18:40:00,28.2,40.2
2021-07-06 18:55:00,28,41
2021-07-06 19:10:00,28.1,41.7
2021-07-06 19:25:00,27.8,40.8
2021-07-06 19:40:00,27.5,40.7
2021-07-06 19:55:00,27.2,39.8
2021-07-06 20:10:00,27,41.1
2021-07-06 20:25:00,26.9,45
2021-07-06 20:40:00,26.6,50.5
2021-07-06 20:55:00,25.9,47.9
2021-07-06 21:10:00,25.5,50.6
2021-07-06 21:25:00,25.1,52.4
2021-07-06 21:40:00,25,52.7
2021-07-06 21:55:00,24.7,53.3
2021-07-06 22:10:00,24.4,53.5
2021-07-06 22:25:00,24.2,55
2021-07-06 22:40:00,24,55.5
2021-07-06 22:55:00,24,55.9
2021-07-06 23:10:00,23.9,56.5
2021-07-06 23:25:00,23.7,56.8
2021-07-06 23:40:00,23.6,56.9
2021-07-06 23:55:00,23.4,57.2
2021-07-07 00:10:00,23.3,57.7
2021-07-07 00:25:00,23.2,58.4
2021-07-07 00:40:00,23,59.2
2021-07-07 00:55:00,22.9,59.8
2021-07-07 01:10:00,22.7,60
2021-07-07 01:25:00,22.5,60.3
2021-07-07 01:40:00,22.5,60.6
2021-07-07 01:55:00,22.4,60.5
2021-07-07 02:10:00,22.2,60.7
2021-07-07 02:25:00,22,60.8
2021-07-07 02:40:00,21.8,60.9
2021-07-07 02:55:00,21.7,60.9
2021-07-07 03:10:00,21.5,61
2021-07-07 03:25:00,21.4,60.9
2021-07-07 03:40:00,21.2,60.6
2021-07-07 03:55:00,21.1,60.1
2021-07-07 04:10:00,20.9,60.1
2021-07-07 04:25:00,20.8,59.8
2021-07-07 04:40:00,20.7,59.5
2021-07-07 04:55:00,20.6,59.5
2021-07-07 05:10:00,20.4,59.1
2021-07-07 05:25:00,20.4,58.6
2021-07-07 05:40:00,20.3,58.7
2021-07-07 05:55:00,20,58.1
2021-07-07 06:10:00,20.1,59.3
2021-07-07 06:25:00,20.1,61.3
2021-07-07 06:40:00,20.1,61.7
2021-07-07 06:55:00,20.3,63.8
2021-07-07 07:10:00,20.8,64.9
2021-07-07 07:25:00,21.4,64.9
2021-07-07 07:40:00,21.7,64.1
2021-07-07 07:55:00,22,64
2021-07-07 08:10:00,22.2,64.4
2021-07-07 08:25:00,22.7,63.7
2021-07-07 08:40:00,22.9,64.1
2021-07-07 08:55:00,23.5,63.6
2021-07-07 09:10:00,23.7,60.7
2021-07-07 09:25:00,23.6,59
2021-07-07 09:40:00,23.9,58.3
2021-07-07 09:55:00,24.3,57.8
2021-07-07 10:10:00,24.7,55.6
2021-07-07 10:25:00,25,55.4
2021-07-07 10:40:00,25.5,55.2
2021-07-07 10:55:00,25.9,54.1
2021-07-07 11:10:00,26.3,53.5
2021-07-07 11:25:00,26.7,52
2021-07-07 11:40:00,26.9,51.5
2021-07-07 11:55:00,27.4,49.2
2021-07-07 12:10:00,27.8,48.2
2021-07-07 12:25:00,28.1,46.2
2021-07-07 12:40:00,28.5,45.3
2021-07-07 12:55:00,28.8,41.7
2021-07-07 13:10:00,29.2,40.6
2021-07-07 13:25:00,29.5,39
2021-07-07 13:40:00,29.9,36.7
2021-07-07 13:55:00,30.1,32.5
2021-07-07 14:10:00,30.5,32.8
2021-07-07 14:25:00,30.7,30.7
2021-07-07 14:40:00,30.9,29.4
2021-07-07 14:55:00,30.9,28.1
2021-07-07 15:10:00,31,26.4
2021-07-07 15:25:00,31.1,27.3
2021-07-07 15:40:00,31.1,27
2021-07-07 15:55:00,31,27.6
2021-07-07 16:10:00,31,27.3
2021-07-07 16:25:00,31,27.2
2021-07-07 16:40:00,30.9,26.4
2021-07-07 16:55:00,30.8,25.7
2021-07-07 17:10:00,30.6,26.4
2021-07-07 17:25:00,30.5,26.2
2021-07-07 17:40:00,30.5,27.2
2021-07-07 17:55:00,30.4,26.5
2021-07-07 18:10:00,30.3,27.8
2021-07-07 18:25:00,30.3,29.3
2021-07-07 18:40:00,30.2,29.4
2021-07-07 18:55:00,30,30.3
2021-07-07 19:10:00,29.8,30.2
2021-07-07 19:25:00,29.7,31.2
2021-07-07 19:40:00,29.6,32.5
2021-07-07 19:55:00,29.7,36.7
2021-07-07 20:10:00,29.6,40.3
2021-07-07 20:25:00,29,39.2
2021-07-07 20:40:00,28.7,39.7
2021-07-07 20:55:00,28.5,39.9
2021-07-07 21:10:00,28,41
2021-07-07 21:25:00,27.6,42.8
2021-07-07 21:40:00,27,38.6
2021-07-07 21:55:00,26.6,39.5
2021-07-07 22:10:00,26.3,41.4
2021-07-07 22:25:00,25.7,41.3
2021-07-07 22:40:00,25.2,42.6
2021-07-07 22:55:00,24.9,43
2021-07-07 23:10:00,24.6,43.3
2021-07-07 23:25:00,24.3,43.8
2021-07-07 23:40:00,24,46
2021-07-07 23:55:00,23.8,45.9
2021-07-08 00:10:00,23.4,45.8
2021-07-08 00:25:00,22.9,45.1
2021-07-08 00:40:00,22.8,44.7
2021-07-08 00:55:00,22.7,44.3
2021-07-08 01:10:00,22.5,44.8
2021-07-08 01:25:00,22.4,45.4
2021-07-08 01:40:00,22.1,45.8
2021-07-08 01:55:00,21.9,46.1
2021-07-08 02:10:00,21.6,45.9
2021-07-08 02:25:00,21.4,45.8
2021-07-08 02:40:00,21,46.6
2021-07-08 02:55:00,20.6,48.6
2021-07-08 03:10:00,20.2,49.3
2021-07-08 03:25:00,20.2,48.9
2021-07-08 03:40:00,20.1,49.1
2021-07-08 03:55:00,20,49.8
2021-07-08 04:10:00,19.9,51.1
2021-07-08 04:25:00,19.7,51.5
2021-07-08 04:40:00,19.6,52
2021-07-08 04:55:00,19.3,53.5
2021-07-08 05:10:00,19.2,53
2021-07-08 05:25:00,19.2,53
2021-07-08 05:40:00,18.9,53.6
2021-07-08 05:55:00,19,54.4
2021-07-08 06:10:00,19,55.7
2021-07-08 06:25:00,19.1,56.7
2021-07-08 06:40:00,19.3,56.4
2021-07-08 06:55:00,19.7,57
2021-07-08 07:10:00,20.2,60
2021-07-08 07:25:00,20.5,59
2021-07-08 07:40:00,21,58.2
2021-07-08 07:55:00,21.2,60.2
2021-07-08 08:10:00,21.5,59.4
2021-07-08 08:25:00,22.1,61.2
2021-07-08 08:40:00,22.8,57.9
2021-07-08 08:55:00,23.5,57.9
2021-07-08 09:10:00,23.7,59.3
2021-07-08 09:25:00,24,57.7
2021-07-08 09:40:00,24.3,58.6
2021-07-08 09:55:00,25,55.1
2021-07-08 10:10:00,25.9,53.8
2021-07-08 10:25:00,26.7,49.4
2021-07-08 10:40:00,27.1,49.4
2021-07-08 10:55:00,27.7,49.8
2021-07-08 11:10:00,28.5,45.2
2021-07-08 11:25:00,29.3,41.4
2021-07-08 11:40:00,29.9,41.6
2021-07-08 11:55:00,30.6,38.3
2021-07-08 12:10:00,31.3,37.3
2021-07-08 12:25:00,32,34
2021-07-08 12:40:00,32.5,32.5
2021-07-08 12:55:00,33,30.9
2021-07-08 13:10:00,33.6,30.4
2021-07-08 13:25:00,34,30.8
2021-07-08 13:40:00,34.3,28.2
2021-07-08 13:55:00,34.5,29.2
2021-07-08 14:10:00,34.7,27.6
2021-07-08 14:25:00,34.9,29.1
2021-07-08 14:40:00,35,26.2
2021-07-08 14:55:00,35,28
2021-07-08 15:10:00,35,27
2021-07-08 15:25:00,34.9,26.4
2021-07-08 15:40:00,34.7,27.4
2021-07-08 15:55:00,34.7,30.5
2021-07-08 16:10:00,34.6,34.2
2021-07-08 16:25:00,34.5,33.7
2021-07-08 16:40:00,34.3,35.6
2021-07-08 16:55:00,33.8,28.6
2021-07-08 17:10:00,33.3,26.8
2021-07-08 17:25:00,33.2,29.1
2021-07-08 17:40:00,33,29.3
2021-07-08 17:55:00,32.7,33.5
2021-07-08 18:10:00,32.5,33.6
2021-07-08 18:25:00,32.2,31
2021-07-08 18:40:00,31.9,31.3
2021-07-08 18:55:00,31.8,33.3
2021-07-08 19:10:00,31.6,35.5
2021-07-08 19:25:00,31.3,32.8
2021-07-08 19:40:00,30.9,31.6
2021-07-08 19:55:00,30.6,32.4
2021-07-08 20:10:00,30.4,33.5
2021-07-08 20:25:00,30.2,33.8
2021-07-08 20:40:00,30,31.4
2021-07-08 20:55:00,29.6,29.5
2021-07-08 21:10:00,29.3,28.7
2021-07-08 21:25:00,29.4,25.7
2021-07-08 21:40:00,29.1,27.3
2021-07-08 21:55:00,28.9,31.5
2021-07-08 22:10:00,28.6,31
2021-07-08 22:25:00,28.3,32.5
2021-07-08 22:40:00,28,33.1
2021-07-08 22:55:00,27.6,33.2
2021-07-08 23:10:00,27.3,34.6
2021-07-08 23:25:00,27.1,34.7
2021-07-08 23:40:00,26.8,35
2021-07-08 23:55:00,26.5,37
2021-07-09 00:10:00,26.2,37.5
2021-07-09 00:25:00,26,37.6
2021-07-09 00:40:00,25.5,41.2
2021-07-09 00:55:00,25.2,41.6
2021-07-09 01:10:00,24.9,41.5
2021-07-09 01:25:00,24.7,45.9
2021-07-09 01:40:00,24.3,42.7
2021-07-09 01:55:00,24,40.7
2021-07-09 02:10:00,23.8,38.7
2021-07-09 02:25:00,23.9,39.1
2021-07-09 02:40:00,23.9,39.1
2021-07-09 02:55:00,23.9,45.3
2021-07-09 03:10:00,23.9,47.2
2021-07-09 03:25:00,23.7,47.3
2021-07-09 03:40:00,23.6,46.3
2021-07-09 03:55:00,23.4,46.2
2021-07-09 04:10:00,23.3,44.9
2021-07-09 04:25:00,23.1,44.5
2021-07-09 04:40:00,22.9,43.6
2021-07-09 04:55:00,22.9,42.2
2021-07-09 05:10:00,22.9,41.7
2021-07-09 05:25:00,22.9,39.8
2021-07-09 05:40:00,22.9,39.7
2021-07-09 05:55:00,23,39.2
2021-07-09 06:10:00,22.9,40.3
2021-07-09 06:25:00,22.8,42.3
2021-07-09 06:40:00,22.9,43.9
2021-07-09 06:55:00,23.2,49.7
2021-07-09 07:10:00,23.8,49
2021-07-09 07:25:00,24.5,49.8
2021-07-09 07:40:00,24.6,42.4
2021-07-09 07:55:00,24.7,42.5
2021-07-09 08:10:00,25,42.3
2021-07-09 08:25:00,25.6,41.1
2021-07-09 08:40:00,26,41.5
2021-07-09 08:55:00,26.4,41.1
2021-07-09 09:10:00,26.9,39.5
2021-07-09 09:25:00,27.5,42.7
2021-07-09 09:40:00,28,40.5
2021-07-09 09:55:00,28.6,39.4
2021-07-09 10:10:00,29,36.9
2021-07-09 10:25:00,29.4,37.2
2021-07-09 10:40:00,29.8,35.6
2021-07-09 10:55:00,30.2,35.1
2021-07-09 11:10:00,30.5,34.4
2021-07-09 11:25:00,30.7,33.8
2021-07-09 11:40:00,31.3,35.2
2021-07-09 11:55:00,31.8,34.1
2021-07-09 12:10:00,32.2,33.3
2021-07-09 12:25:00,32.5,33.3
2021-07-09 12:40:00,32.9,31.5
2021-07-09 12:55:00,33.1,32.4
2021-07-09 13:10:00,33.3,32
2021-07-09 13:25:00,33.5,30.4
2021-07-09 13:40:00,33.6,32.2
2021-07-09 13:55:00,33.7,35.1
2021-07-09 14:10:00,33.6,36.1
2021-07-09 14:25:00,33.6,34.8
2021-07-09 14:40:00,33.8,33.3
2021-07-09 14:55:00,33.7,31.8
2021-07-09 15:10:00,34,30.6
2021-07-09 15:25:00,33.7,31.4
2021-07-09 15:40:00,33.7,30.7
2021-07-09 15:55:00,33.9,32.7
2021-07-09 16:10:00,33.9,35.5
2021-07-09 16:25:00,33.8,37.7
2021-07-09 16:40:00,33.6,34.5
2021-07-09 16:55:00,33.2,31.8
2021-07-09 17:10:00,33,33.3
2021-07-09 17:25:00,32.9,36.7
2021-07-09 17:40:00,32.9,41.4
2021-07-09 17:55:00,32.8,41.1
2021-07-09 18:10:00,32.3,37.2
2021-07-09 18:25:00,32.1,37
2021-07-09 18:40:00,32,36.4
2021-07-09 18:55:00,31.7,37.6
2021-07-09 19:10:00,31.5,39.3
2021-07-09 19:25:00,31.2,42.3
2021-07-09 19:40:00,31,40.7
2021-07-09 19:55:00,30.7,43.9
2021-07-09 20:10:00,30.4,44.2
2021-07-09 20:25:00,30,43.7
2021-07-09 20:40:00,29.5,43.4
2021-07-09 20:55:00,29.1,43.7
2021-07-09 21:10:00,28.8,44.2
2021-07-09 21:25:00,28.6,44
2021-07-09 21:40:00,28.2,43.5
2021-07-09 21:55:00,27.9,43.2
2021-07-09 22:10:00,27.5,43
2021-07-09 22:25:00,27.1,43.2
2021-07-09 22:40:00,26.8,43.3
2021-07-09 22:55:00,26.5,43.5
2021-07-09 23:10:00,26.1,45
2021-07-09 23:25:00,26,44.4
2021-07-09 23:40:00,25.7,44.1
2021-07-09 23:55:00,25.4,43
2021-07-10 00:10:00,25.2,41.6
2021-07-10 00:25:00,24.6,50.6
2021-07-10 00:40:00,23.6,50.4
2021-07-10 00:55:00,22.9,50.7
2021-07-10 01:10:00,22.4,49
2021-07-10 01:25:00,22.4,49.5
2021-07-10 01:40:00,22.5,48.1
2021-07-10 01:55:00,22.5,46.8
2021-07-10 02:10:00,22.5,46.4
2021-07-10 02:25:00,22.6,46.5
2021-07-10 02:40:00,22.6,46.7
2021-07-10 02:55:00,22.5,46.8
2021-07-10 03:10:00,22.4,47.1
2021-07-10 03:25:00,22.4,47.2
2021-07-10 03:40:00,22.4,46.7
2021-07-10 03:55:00,22.4,46.6
2021-07-10 04:10:00,22.3,46.7
2021-07-10 04:25:00,22.2,47.9
2021-07-10 04:40:00,22.2,49.3
2021-07-10 04:55:00,21.9,49.2
2021-07-10 05:10:00,21.9,49.5
2021-07-10 05:25:00,21.9,50.3
2021-07-10 05:40:00,21.8,51.8
2021-07-10 05:55:00,21.7,52.4
2021-07-10 06:10:00,21.7,53.4
2021-07-10 06:25:00,21.7,53.6
2021-07-10 06:40:00,21.8,54.4
2021-07-10 06:55:00,22,55.5
2021-07-10 07:10:00,22.3,55.7
2021-07-10 07:25:00,22.6,55.1
2021-07-10 07:40:00,22.9,54.9
2021-07-10 07:55:00,23.3,53.2
2021-07-10 08:10:00,23.8,52.5
2021-07-10 08:25:00,24.1,51.1
2021-07-10 08:40:00,24.6,49.5
