Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-06-23 08:00:00,22.7,48.1
2021-06-23 08:15:00,21.6,51.2
2021-06-23 08:30:00,22.7,49
2021-06-23 08:45:00,24.1,46.5
2021-06-23 09:00:00,25.5,43.7
2021-06-23 09:15:00,26,45.6
2021-06-23 09:30:00,26.7,42.8
2021-06-23 09:45:00,26.9,44.9
2021-06-23 10:00:00,27.4,43.1
2021-06-23 10:15:00,28.1,40
2021-06-23 10:30:00,28.7,39.7
2021-06-23 10:45:00,29.2,40.8
2021-06-23 11:00:00,30.1,40.1
2021-06-23 11:15:00,31,32.8
2021-06-23 11:30:00,31.8,27.9
2021-06-23 11:45:00,32.2,26.2
2021-06-23 12:00:00,32.6,24.4
2021-06-23 12:15:00,33,23
2021-06-23 12:30:00,33.2,22.1
2021-06-23 12:45:00,34.2,20.8
2021-06-23 13:00:00,35.1,19.8
2021-06-23 13:15:00,35.9,19.7
2021-06-23 13:30:00,36.2,17.7
2021-06-23 13:45:00,35.9,17.7
2021-06-23 14:00:00,35.6,16.9
2021-06-23 14:15:00,35.5,19.1
2021-06-23 14:30:00,35,19.9
2021-06-23 14:45:00,35,20.1
2021-06-23 15:00:00,35.3,20.5
2021-06-23 15:15:00,35.8,20.4
2021-06-23 15:30:00,35.7,19.7
2021-06-23 15:45:00,35.1,19.8
2021-06-23 16:00:00,34.6,20.2
2021-06-23 16:15:00,34.4,20.8
2021-06-23 16:30:00,34.2,21.3
2021-06-23 16:45:00,33.6,19.5
2021-06-23 17:00:00,32.9,17.9
2021-06-23 17:15:00,32.4,18.3
2021-06-23 17:30:00,32,18.7
2021-06-23 17:45:00,31.7,19.1
2021-06-23 18:00:00,31.4,18.9
2021-06-23 18:15:00,31,19.2
2021-06-23 18:30:00,30.6,19.6
2021-06-23 18:45:00,30.2,19.8
2021-06-23 19:00:00,29.7,19.7
2021-06-23 19:15:00,29.3,19.5
2021-06-23 19:30:00,29,19.4
2021-06-23 19:45:00,28.7,20.2
2021-06-23 20:00:00,28.5,20.8
2021-06-23 20:15:00,28.2,20.7
2021-06-23 20:30:00,27.9,20.8
2021-06-23 20:45:00,27.7,21
2021-06-23 21:00:00,27.4,21.9
2021-06-23 21:15:00,27.2,22.8
2021-06-23 21:30:00,26.9,23.1
2021-06-23 21:45:00,26.8,23
2021-06-23 22:00:00,26.5,23.9
2021-06-23 22:15:00,26.2,25
2021-06-23 22:30:00,26.1,24.3
2021-06-23 22:45:00,25.9,24.5
2021-06-23 23:00:00,25.8,25.3
2021-06-23 23:15:00,25.6,25
2021-06-23 23:30:00,25.4,25.2
2021-06-23 23:45:00,25.2,24.6
2021-06-24 00:00:00,25,24.4
2021-06-24 00:15:00,24.9,24.1
2021-06-24 00:30:00,24.7,25.6
2021-06-24 00:45:00,24.6,27.5
2021-06-24 01:00:00,24.2,31.2
2021-06-24 01:15:00,24,32
2021-06-24 01:30:00,23.9,30.8
2021-06-24 01:45:00,23.7,31.2
2021-06-24 02:00:00,23.5,31.9
2021-06-24 02:15:00,23.2,34.5
2021-06-24 02:30:00,22.8,37.2
2021-06-24 02:45:00,22.5,39.2
2021-06-24 03:00:00,22.2,40
2021-06-24 03:15:00,22.1,40
2021-06-24 03:30:00,22,40.1
2021-06-24 03:45:00,21.8,40.5
2021-06-24 04:00:00,21.7,41.2
2021-06-24 04:15:00,21.6,40.8
2021-06-24 04:30:00,21.4,40.6
2021-06-24 04:45:00,21.3,41.2
2021-06-24 05:00:00,21.2,41.7
2021-06-24 05:15:00,21.1,44.2
2021-06-24 05:30:00,20.9,44.6
2021-06-24 05:45:00,20.7,45.3
2021-06-24 06:00:00,20.5,45.9
2021-06-24 06:15:00,20.4,45.6
2021-06-24 06:30:00,20.5,47
2021-06-24 06:45:00,20.4,47.4
2021-06-24 07:00:00,20.6,47.9
2021-06-24 07:15:00,21.8,48.8
2021-06-24 07:30:00,22.4,48.6
2021-06-24 07:45:00,23.4,46.5
2021-06-24 08:00:00,23.9,43.4
2021-06-24 08:15:00,24.3,42.1
2021-06-24 08:30:00,24.7,41.4
2021-06-24 08:45:00,24.9,39.3
2021-06-24 09:00:00,25.2,39.4
2021-06-24 09:15:00,26,37.9
