Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-05-28 08:34:00,18,55
2021-05-28 08:49:00,17.1,55.7
2021-05-28 09:04:00,17.5,57.9
2021-05-28 09:19:00,18.3,58.3
2021-05-28 09:34:00,19.1,57.3
2021-05-28 09:49:00,20,56
2021-05-28 10:04:00,20.7,54.7
2021-05-28 10:19:00,21.5,52.8
2021-05-28 10:34:00,22.3,50.9
2021-05-28 10:49:00,23.2,49.5
2021-05-28 11:04:00,23.9,47.1
2021-05-28 11:19:00,24.7,45.4
2021-05-28 11:34:00,25.3,44.8
2021-05-28 11:49:00,25.3,43.7
2021-05-28 12:04:00,25.7,44.5
2021-05-28 12:19:00,26.7,43.7
2021-05-28 12:34:00,27.4,42.4
2021-05-28 12:49:00,28.2,41.7
2021-05-28 13:04:00,28.2,39.8
2021-05-28 13:19:00,28.2,39.9
2021-05-28 13:34:00,27.7,39.7
2021-05-28 13:49:00,28.3,38.6
2021-05-28 14:04:00,28.4,37.4
2021-05-28 14:19:00,27.7,36.4
2021-05-28 14:34:00,27.3,37
2021-05-28 14:49:00,27.7,37.4
2021-05-28 15:04:00,27.3,37.2
2021-05-28 15:19:00,28,38.5
2021-05-28 15:34:00,28.2,36.9
2021-05-28 15:49:00,27.5,37.1
2021-05-28 16:04:00,26.9,37.4
2021-05-28 16:19:00,26.7,37.9
2021-05-28 16:34:00,27.1,38.2
2021-05-28 16:49:00,27,37.5
2021-05-28 17:04:00,27,36.3
2021-05-28 17:19:00,26.4,36.5
2021-05-28 17:34:00,26.3,36.9
2021-05-28 17:49:00,26.1,37.5
2021-05-28 18:04:00,25.7,38
2021-05-28 18:19:00,25.3,38.7
2021-05-28 18:34:00,25.2,37.8
2021-05-28 18:49:00,24.6,37.3
2021-05-28 19:04:00,24,37.3
2021-05-28 19:19:00,23.6,38.2
2021-05-28 19:34:00,23.2,38.5
2021-05-28 19:49:00,22.6,38.9
2021-05-28 20:04:00,22.2,39.9
2021-05-28 20:19:00,21.7,40
2021-05-28 20:34:00,21.2,40
2021-05-28 20:49:00,20.7,40.6
2021-05-28 21:04:00,20.2,41.1
2021-05-28 21:19:00,19.7,41.8
2021-05-28 21:34:00,19.1,42.4
2021-05-28 21:49:00,18.7,42.8
2021-05-28 22:04:00,18.2,43.1
2021-05-28 22:19:00,17.8,43.7
2021-05-28 22:34:00,17.4,43.3
2021-05-28 22:49:00,17.1,43.1
2021-05-28 23:04:00,16.7,43.1
2021-05-28 23:19:00,16.4,43.4
2021-05-28 23:34:00,16.1,42.7
2021-05-28 23:49:00,16,42.6
2021-05-29 00:04:00,15.9,42.5
2021-05-29 00:19:00,15.7,42.9
2021-05-29 00:34:00,15.5,43.5
2021-05-29 00:49:00,15.2,44.4
2021-05-29 01:04:00,14.9,45
2021-05-29 01:19:00,14.6,45.1
2021-05-29 01:34:00,14.3,45.3
2021-05-29 01:49:00,14,45.4
2021-05-29 02:04:00,13.8,45.4
2021-05-29 02:19:00,13.6,45.6
2021-05-29 02:34:00,13.3,46
2021-05-29 02:49:00,13.1,46.6
2021-05-29 03:04:00,12.9,47.5
2021-05-29 03:19:00,12.7,47.9
2021-05-29 03:34:00,12.3,48.5
2021-05-29 03:49:00,12.1,48.6
2021-05-29 04:04:00,11.8,49.2
2021-05-29 04:19:00,11.6,50.2
2021-05-29 04:34:00,11.3,50.8
2021-05-29 04:49:00,11.1,51.5
2021-05-29 05:04:00,10.8,51.9
2021-05-29 05:19:00,10.6,52.3
2021-05-29 05:34:00,10.4,53.3
2021-05-29 05:49:00,10.2,53.9
2021-05-29 06:04:00,10.2,55.3
2021-05-29 06:19:00,10.4,56.1
2021-05-29 06:34:00,10.9,58.8
2021-05-29 06:49:00,11.7,59.7
2021-05-29 07:04:00,12.5,59.7
2021-05-29 07:19:00,13.4,59.7
2021-05-29 07:34:00,14.2,60
2021-05-29 07:49:00,14.8,61.2
2021-05-29 08:04:00,15.7,61.8
2021-05-29 08:19:00,16.4,60.8
2021-05-29 08:34:00,17.1,60.9
2021-05-29 08:49:00,17.5,59
2021-05-29 09:04:00,18.1,58.8
2021-05-29 09:19:00,18.9,58.5
2021-05-29 09:34:00,19.8,56.8
2021-05-29 09:49:00,20.1,56.6
2021-05-29 10:04:00,20.5,56.7
2021-05-29 10:19:00,21.3,56.1
2021-05-29 10:34:00,21,53.9
2021-05-29 10:49:00,21.3,53.8
2021-05-29 11:04:00,21.7,53
2021-05-29 11:19:00,22,52
2021-05-29 11:34:00,22,51.2
2021-05-29 11:49:00,22.7,51.3
2021-05-29 12:04:00,22.7,49.8
2021-05-29 12:19:00,22.9,50
2021-05-29 12:34:00,22.7,48.4
2021-05-29 12:49:00,22.2,49.6
2021-05-29 13:04:00,23.2,50.4
2021-05-29 13:19:00,23.7,48.7
2021-05-29 13:34:00,23.3,48
2021-05-29 13:49:00,23.1,48.2
2021-05-29 14:04:00,23,47.9
2021-05-29 14:19:00,22.8,47.8
2021-05-29 14:34:00,22.3,47.6
2021-05-29 14:49:00,22.5,48.6
2021-05-29 15:04:00,23.5,49.3
2021-05-29 15:19:00,23.2,47.6
2021-05-29 15:34:00,21.8,49.2
2021-05-29 15:49:00,21.2,48.3
2021-05-29 16:04:00,21.7,47.3
2021-05-29 16:19:00,22,49.8
2021-05-29 16:34:00,22.4,50.5
2021-05-29 16:49:00,23.1,49.1
2021-05-29 17:04:00,22.5,48.5
2021-05-29 17:19:00,22.3,49
2021-05-29 17:34:00,21.4,49.1
2021-05-29 17:49:00,21,49.8
2021-05-29 18:04:00,20.8,49.8
2021-05-29 18:19:00,20.6,50.1
2021-05-29 18:34:00,20.2,51.3
2021-05-29 18:49:00,19.7,52.3
2021-05-29 19:04:00,19.5,52.8
2021-05-29 19:19:00,19.2,53.5
2021-05-29 19:34:00,18.9,54.1
2021-05-29 19:49:00,18.6,54.5
2021-05-29 20:04:00,18.4,55.2
2021-05-29 20:19:00,18.1,56
2021-05-29 20:34:00,17.9,56.4
2021-05-29 20:49:00,17.7,57.3
2021-05-29 21:04:00,17.4,58
2021-05-29 21:19:00,17.1,59.1
2021-05-29 21:34:00,16.9,59.9
2021-05-29 21:49:00,16.7,60.6
2021-05-29 22:04:00,16.6,61.7
2021-05-29 22:19:00,16.3,63.4
2021-05-29 22:34:00,16.2,64
2021-05-29 22:49:00,16.1,65.1
2021-05-29 23:04:00,16,64.9
2021-05-29 23:19:00,15.9,64.9
2021-05-29 23:34:00,15.7,65.7
2021-05-29 23:49:00,15.5,66.1
2021-05-30 00:04:00,15.3,66.2
2021-05-30 00:19:00,15.2,66.8
2021-05-30 00:34:00,15.1,66.9
2021-05-30 00:49:00,14.9,68
2021-05-30 01:04:00,14.8,69
2021-05-30 01:19:00,14.7,70.5
2021-05-30 01:34:00,14.6,71
2021-05-30 01:49:00,14.5,71.8
2021-05-30 02:04:00,14.4,71.7
2021-05-30 02:19:00,14.4,72
2021-05-30 02:34:00,14.4,72.9
2021-05-30 02:49:00,14.5,73
2021-05-30 03:04:00,14.4,72.2
2021-05-30 03:19:00,14.4,72.4
2021-05-30 03:34:00,14.3,72.3
2021-05-30 03:49:00,14.2,72.4
2021-05-30 04:04:00,14.1,72.5
2021-05-30 04:19:00,14.1,72.7
2021-05-30 04:34:00,13.9,73
2021-05-30 04:49:00,13.8,73
2021-05-30 05:04:00,13.8,73.8
2021-05-30 05:19:00,13.8,74.4
2021-05-30 05:34:00,13.7,74.7
2021-05-30 05:49:00,13.7,74.4
2021-05-30 06:04:00,13.6,74
