Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-06-21 10:15:00,20.4,52.2
2021-06-21 10:30:00,18.9,51.7
2021-06-21 10:45:00,18.2,55.2
2021-06-21 11:00:00,18,55
2021-06-21 11:15:00,18.1,55.9
2021-06-21 11:30:00,18.2,55.3
2021-06-21 11:45:00,18.4,54.8
2021-06-21 12:00:00,18.5,54.9
2021-06-21 12:15:00,18.7,55
2021-06-21 12:30:00,18.9,54.4
2021-06-21 12:45:00,19,54.2
2021-06-21 13:00:00,19.1,52.8
2021-06-21 13:15:00,19.2,51.7
2021-06-21 13:30:00,19.7,53.5
2021-06-21 13:45:00,19.8,52
2021-06-21 14:00:00,19.8,52
2021-06-21 14:15:00,19.8,51.3
2021-06-21 14:30:00,19.9,50.9
2021-06-21 14:45:00,20,50.8
2021-06-21 15:00:00,20.2,49.1
2021-06-21 15:15:00,20.4,50.6
2021-06-21 15:30:00,20.7,49.3
2021-06-21 15:45:00,21,47.1
2021-06-21 16:00:00,21.2,47.9
2021-06-21 16:15:00,21.6,48
2021-06-21 16:30:00,21.8,47.1
2021-06-21 16:45:00,22.2,47
2021-06-21 17:00:00,22.4,47.1
2021-06-21 17:15:00,22.7,46.6
2021-06-21 17:30:00,22.9,44.9
2021-06-21 17:45:00,23.3,45.5
2021-06-21 18:00:00,23.4,44.9
2021-06-21 18:15:00,23.7,45.4
2021-06-21 18:30:00,23.7,44.9
2021-06-21 18:45:00,23.7,43.8
2021-06-21 19:00:00,23.7,44.6
2021-06-21 19:15:00,23.7,44.5
2021-06-21 19:30:00,23.6,44.1
2021-06-21 19:45:00,23.7,45.1
2021-06-21 20:00:00,23.7,45.3
2021-06-21 20:15:00,23.7,45.5
2021-06-21 20:30:00,23.6,45.7
2021-06-21 20:45:00,23.3,45.8
2021-06-21 21:00:00,22.9,46.7
2021-06-21 21:15:00,22.6,46.9
2021-06-21 21:30:00,22.4,47.3
2021-06-21 21:45:00,22.1,47.8
2021-06-21 22:00:00,21.7,48.2
2021-06-21 22:15:00,21.2,49
2021-06-21 22:30:00,21,49.2
2021-06-21 22:45:00,20.7,49.8
2021-06-21 23:00:00,20.5,50.6
2021-06-21 23:15:00,20.2,51
2021-06-21 23:30:00,19.9,50.7
2021-06-21 23:45:00,19.4,52.1
2021-06-22 00:00:00,19,52.5
2021-06-22 00:15:00,18.7,53.3
2021-06-22 00:30:00,18.6,53.4
2021-06-22 00:45:00,18.4,53.6
2021-06-22 01:00:00,18.2,53.7
2021-06-22 01:15:00,18.1,53.7
2021-06-22 01:30:00,17.9,53.7
2021-06-22 01:45:00,17.7,53.7
2021-06-22 02:00:00,17.5,54.1
2021-06-22 02:15:00,17.3,53.8
2021-06-22 02:30:00,17.1,54.3
2021-06-22 02:45:00,16.8,55.6
2021-06-22 03:00:00,16.4,54.6
2021-06-22 03:15:00,16.1,55.3
2021-06-22 03:30:00,15.8,56.5
2021-06-22 03:45:00,15.6,56.7
2021-06-22 04:00:00,15.3,57.6
2021-06-22 04:15:00,15.1,58.7
2021-06-22 04:30:00,15,58.5
2021-06-22 04:45:00,14.7,58
2021-06-22 05:00:00,14.5,58.9
2021-06-22 05:15:00,14.4,58.8
2021-06-22 05:30:00,14,58.8
2021-06-22 05:45:00,13.9,60.1
2021-06-22 06:00:00,13.9,59.6
2021-06-22 06:15:00,13.7,61
2021-06-22 06:30:00,13.7,61.7
2021-06-22 06:45:00,13.8,63.8
2021-06-22 07:00:00,13.9,65.2
2021-06-22 07:15:00,14.2,66.3
2021-06-22 07:30:00,14.4,66
2021-06-22 07:45:00,14.7,69.1
2021-06-22 08:00:00,15.3,70.6
2021-06-22 08:15:00,15.8,70.8
2021-06-22 08:30:00,16.1,71.1
2021-06-22 08:45:00,16.4,70.1
2021-06-22 09:00:00,16.8,68.9
2021-06-22 09:15:00,17.2,68.2
2021-06-22 09:30:00,17.7,66.6
2021-06-22 09:45:00,18.2,66.3
2021-06-22 10:00:00,18.6,64.9
2021-06-22 10:15:00,19.1,63.6
2021-06-22 10:30:00,19.7,60.3
2021-06-22 10:45:00,20.4,58.6
2021-06-22 11:00:00,20.9,55.3
2021-06-22 11:15:00,21.6,53.9
2021-06-22 11:30:00,22.2,49
2021-06-22 11:45:00,22.8,45.9
2021-06-22 12:00:00,23.6,43.4
2021-06-22 12:15:00,24.2,40.9
2021-06-22 12:30:00,25,38.7
2021-06-22 12:45:00,25.3,36.8
