Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-07-05 11:20:00,36.2,27.2
2021-07-05 11:35:00,29.9,38
2021-07-05 11:50:00,28.7,39.2
2021-07-05 12:05:00,28.5,40.3
2021-07-05 12:20:00,28.9,40.2
2021-07-05 12:35:00,29.2,40
2021-07-05 12:50:00,29.6,39.8
2021-07-05 13:05:00,30,38.6
2021-07-05 13:20:00,30.3,37.6
2021-07-05 13:35:00,30.4,37.7
2021-07-05 13:50:00,30.6,38
2021-07-05 14:05:00,30.6,40.2
2021-07-05 14:20:00,30.7,39.9
2021-07-05 14:35:00,30.7,42.7
2021-07-05 14:50:00,30.7,43.1
2021-07-05 15:05:00,30.7,40.3
2021-07-05 15:20:00,30.5,40.4
2021-07-05 15:35:00,30.2,41
2021-07-05 15:50:00,30,39.9
2021-07-05 16:05:00,29.6,38.6
2021-07-05 16:20:00,28.7,38.7
2021-07-05 16:35:00,28,38.8
2021-07-05 16:50:00,28.4,40.1
2021-07-05 17:05:00,28.5,38.8
2021-07-05 17:20:00,28.4,37.3
2021-07-05 17:35:00,28.3,36.8
2021-07-05 17:50:00,28.1,36.1
2021-07-05 18:05:00,27.9,37.3
2021-07-05 18:20:00,27.6,37.4
2021-07-05 18:35:00,27.3,36.9
2021-07-05 18:50:00,27.2,36.6
2021-07-05 19:05:00,27.1,37.5
2021-07-05 19:20:00,27,37.4
2021-07-05 19:35:00,26.6,37.7
2021-07-05 19:50:00,26.6,39.4
2021-07-05 20:05:00,26.5,39.9
2021-07-05 20:20:00,26.3,40.8
2021-07-05 20:35:00,26,41
2021-07-05 20:50:00,25.7,41.6
2021-07-05 21:05:00,25.4,42
2021-07-05 21:20:00,25.2,42.5
2021-07-05 21:35:00,24.9,44.9
2021-07-05 21:50:00,24.7,46.6
2021-07-05 22:05:00,24.3,46.3
2021-07-05 22:20:00,23.9,46.5
2021-07-05 22:35:00,23.8,47.1
2021-07-05 22:50:00,23.7,45.8
2021-07-05 23:05:00,23.7,46.1
2021-07-05 23:20:00,23.5,45.2
2021-07-05 23:35:00,23.5,44.2
2021-07-05 23:50:00,23.4,45.5
2021-07-06 00:05:00,23.4,44.3
2021-07-06 00:20:00,23.3,45.5
2021-07-06 00:35:00,23.2,46.6
2021-07-06 00:50:00,23.1,45.9
2021-07-06 01:05:00,23,46.2
2021-07-06 01:20:00,22.9,47.1
2021-07-06 01:35:00,22.8,48.4
2021-07-06 01:50:00,22.7,49.8
2021-07-06 02:05:00,22.6,50.7
2021-07-06 02:20:00,22.4,51.2
2021-07-06 02:35:00,22.2,52
2021-07-06 02:50:00,22.1,52.3
2021-07-06 03:05:00,21.8,53.6
2021-07-06 03:20:00,21.6,55
2021-07-06 03:35:00,21.3,55.4
2021-07-06 03:50:00,21,56.2
2021-07-06 04:05:00,20.8,57.5
2021-07-06 04:20:00,20.7,58.4
2021-07-06 04:35:00,20.5,59.2
2021-07-06 04:50:00,20.3,59.7
2021-07-06 05:05:00,20.1,59.7
2021-07-06 05:20:00,19.9,60.9
2021-07-06 05:35:00,19.8,60.5
2021-07-06 05:50:00,19.7,61.4
2021-07-06 06:05:00,19.6,62.1
2021-07-06 06:20:00,19.7,62
2021-07-06 06:35:00,19.8,63.7
2021-07-06 06:50:00,19.8,63.7
2021-07-06 07:05:00,19.9,64.3
2021-07-06 07:20:00,20.1,64.5
2021-07-06 07:35:00,20.6,64.3
2021-07-06 07:50:00,21,62.6
2021-07-06 08:05:00,21.4,62.9
2021-07-06 08:20:00,21.8,59.4
2021-07-06 08:35:00,22.2,57.6
2021-07-06 08:50:00,22.7,55.6
2021-07-06 09:05:00,23.1,53.9
2021-07-06 09:20:00,23.6,52.1
2021-07-06 09:35:00,23.9,51.8
2021-07-06 09:50:00,24.3,50.1
2021-07-06 10:05:00,24.7,50.1
2021-07-06 10:20:00,25.2,49.5
2021-07-06 10:35:00,25.5,47.9
2021-07-06 10:50:00,25.8,48
2021-07-06 11:05:00,26.2,47.6
2021-07-06 11:20:00,26.5,46.9
2021-07-06 11:35:00,26.8,47
2021-07-06 11:50:00,27,46.1
2021-07-06 12:05:00,27.5,45.4
2021-07-06 12:20:00,27.7,45.5
2021-07-06 12:35:00,27.8,44.8
2021-07-06 12:50:00,28.4,44.8
2021-07-06 13:05:00,28.6,44.4
2021-07-06 13:20:00,28.7,44.4
2021-07-06 13:35:00,29.1,43.7
2021-07-06 13:50:00,29,44.4
2021-07-06 14:05:00,29,43.6
2021-07-06 14:20:00,29.2,43.5
2021-07-06 14:35:00,28.8,43.8
2021-07-06 14:50:00,29.3,42.3
2021-07-06 15:05:00,29.6,43.1
2021-07-06 15:20:00,29.6,42.6
2021-07-06 15:35:00,29.8,41.9
2021-07-06 15:50:00,29.7,41.8
2021-07-06 16:05:00,29.6,41.6
2021-07-06 16:20:00,29.7,41.7
2021-07-06 16:35:00,29.7,41.3
2021-07-06 16:50:00,29.6,40.7
2021-07-06 17:05:00,29.3,40.8
2021-07-06 17:20:00,29.3,40.8
2021-07-06 17:35:00,29.2,41.7
2021-07-06 17:50:00,29.3,42.6
2021-07-06 18:05:00,29,40.8
2021-07-06 18:20:00,28.9,41.5
2021-07-06 18:35:00,28.8,42.4
2021-07-06 18:50:00,28.5,41.8
2021-07-06 19:05:00,28.3,42.8
2021-07-06 19:20:00,28.1,43.1
2021-07-06 19:35:00,27.9,43.5
2021-07-06 19:50:00,27.7,44.1
2021-07-06 20:05:00,27.4,44.5
2021-07-06 20:20:00,27.2,44.2
2021-07-06 20:35:00,27,45.3
2021-07-06 20:50:00,26.7,46.4
2021-07-06 21:05:00,26.2,47.7
2021-07-06 21:20:00,25.5,49.8
2021-07-06 21:35:00,24.8,51.7
2021-07-06 21:50:00,24.5,53.4
2021-07-06 22:05:00,24.2,54.6
2021-07-06 22:20:00,23.8,55.8
2021-07-06 22:35:00,23.6,56.8
2021-07-06 22:50:00,23.4,57.3
2021-07-06 23:05:00,23.1,59.3
2021-07-06 23:20:00,22.9,59
2021-07-06 23:35:00,22.8,60.4
2021-07-06 23:50:00,22.5,61.9
2021-07-07 00:05:00,22.3,62.7
2021-07-07 00:20:00,22.1,63.6
2021-07-07 00:35:00,21.9,63.2
2021-07-07 00:50:00,21.7,63.7
2021-07-07 01:05:00,21.6,64.3
2021-07-07 01:20:00,21.4,64.5
2021-07-07 01:35:00,21.2,64.1
2021-07-07 01:50:00,20.9,65
2021-07-07 02:05:00,20.8,66
2021-07-07 02:20:00,20.5,65.9
2021-07-07 02:35:00,20.3,65.6
2021-07-07 02:50:00,20,65.6
2021-07-07 03:05:00,19.8,65.2
2021-07-07 03:20:00,19.7,65.5
2021-07-07 03:35:00,19.5,65.7
2021-07-07 03:50:00,19.3,66
2021-07-07 04:05:00,19.1,66
2021-07-07 04:20:00,18.8,66.6
2021-07-07 04:35:00,18.7,65.8
2021-07-07 04:50:00,18.6,65.8
2021-07-07 05:05:00,18.4,66.1
2021-07-07 05:20:00,18.2,66.1
2021-07-07 05:35:00,18.1,66
2021-07-07 05:50:00,18,66.2
2021-07-07 06:05:00,17.9,65.8
2021-07-07 06:20:00,18,66.3
2021-07-07 06:35:00,18.3,66.4
2021-07-07 06:50:00,18.5,66.4
2021-07-07 07:05:00,18.7,67.5
2021-07-07 07:20:00,19.3,68.8
2021-07-07 07:35:00,19.7,67.6
2021-07-07 07:50:00,20.1,67.5
2021-07-07 08:05:00,20.5,68.1
2021-07-07 08:20:00,21,68.6
2021-07-07 08:35:00,21.3,68.2
2021-07-07 08:50:00,21.8,68
2021-07-07 09:05:00,22.1,65.9
2021-07-07 09:20:00,22.3,64.2
2021-07-07 09:35:00,22.8,65.3
2021-07-07 09:50:00,23.3,62.2
2021-07-07 10:05:00,23.8,61
2021-07-07 10:20:00,24.3,60.3
2021-07-07 10:35:00,24.9,58.6
2021-07-07 10:50:00,25.4,55.3
2021-07-07 11:05:00,25.9,54
2021-07-07 11:20:00,26.4,51.4
2021-07-07 11:35:00,26.8,50.9
2021-07-07 11:50:00,27.2,47.3
2021-07-07 12:05:00,27.7,46.2
2021-07-07 12:20:00,28.1,44.6
2021-07-07 12:35:00,28.5,43.4
2021-07-07 12:50:00,28.9,42.5
2021-07-07 13:05:00,29.2,39.1
2021-07-07 13:20:00,29.5,36.2
2021-07-07 13:35:00,29.8,37.1
2021-07-07 13:50:00,30.2,34.9
2021-07-07 14:05:00,30.4,32.6
2021-07-07 14:20:00,30.7,31.3
2021-07-07 14:35:00,31,31.1
2021-07-07 14:50:00,31.2,29.5
2021-07-07 15:05:00,31.3,29.1
2021-07-07 15:20:00,31.6,28.9
2021-07-07 15:35:00,31.7,29.1
2021-07-07 15:50:00,31.8,28.9
2021-07-07 16:05:00,32,28.8
2021-07-07 16:20:00,32.1,29.2
2021-07-07 16:35:00,32.2,29.1
2021-07-07 16:50:00,32.2,28.5
2021-07-07 17:05:00,32.3,29.3
2021-07-07 17:20:00,32.2,28.8
2021-07-07 17:35:00,32.2,28.9
2021-07-07 17:50:00,32.2,29.9
2021-07-07 18:05:00,32.1,29.8
2021-07-07 18:20:00,32.7,29.8
2021-07-07 18:35:00,32.1,28.6
2021-07-07 18:50:00,31.8,29
2021-07-07 19:05:00,31.6,31.2
2021-07-07 19:20:00,31.4,31.7
2021-07-07 19:35:00,31.3,31.8
2021-07-07 19:50:00,31,32.8
2021-07-07 20:05:00,30.7,33.3
2021-07-07 20:20:00,30.2,34.7
2021-07-07 20:35:00,29.6,36.6
2021-07-07 20:50:00,29,38.1
2021-07-07 21:05:00,28.4,38.1
2021-07-07 21:20:00,27.9,38.3
2021-07-07 21:35:00,27.4,38.5
2021-07-07 21:50:00,26.7,38.4
2021-07-07 22:05:00,26.3,38.4
2021-07-07 22:20:00,25.8,39.9
2021-07-07 22:35:00,25.4,41.4
2021-07-07 22:50:00,24.9,43.7
2021-07-07 23:05:00,24.6,43.8
2021-07-07 23:20:00,24.2,43.9
2021-07-07 23:35:00,23.8,44.4
2021-07-07 23:50:00,23.5,44.1
2021-07-08 00:05:00,23,45.4
2021-07-08 00:20:00,22.7,45.6
2021-07-08 00:35:00,22.3,45.2
2021-07-08 00:50:00,22.1,44.5
2021-07-08 01:05:00,21.8,44.7
2021-07-08 01:20:00,21.5,44.7
2021-07-08 01:35:00,21.1,46.1
2021-07-08 01:50:00,20.8,46
2021-07-08 02:05:00,20.4,47.4
2021-07-08 02:20:00,20.1,47.8
2021-07-08 02:35:00,19.8,48.9
2021-07-08 02:50:00,19.5,49.6
2021-07-08 03:05:00,19.1,50.3
2021-07-08 03:20:00,18.8,51.6
2021-07-08 03:35:00,18.4,53.1
2021-07-08 03:50:00,18.1,53.5
2021-07-08 04:05:00,18,53.7
2021-07-08 04:20:00,17.9,53.2
2021-07-08 04:35:00,17.7,54.4
2021-07-08 04:50:00,17.6,53.4
2021-07-08 05:05:00,17.4,54.6
2021-07-08 05:20:00,17.3,56.4
2021-07-08 05:35:00,17.1,56.9
2021-07-08 05:50:00,17,57.8
2021-07-08 06:05:00,16.9,58.5
2021-07-08 06:20:00,17.1,58.9
2021-07-08 06:35:00,17.3,59.3
2021-07-08 06:50:00,17.7,59.2
2021-07-08 07:05:00,18.1,60.4
2021-07-08 07:20:00,18.7,60.7
2021-07-08 07:35:00,19.4,63
2021-07-08 07:50:00,19.9,62
2021-07-08 08:05:00,20.3,64.1
2021-07-08 08:20:00,20.7,63.9
2021-07-08 08:35:00,21.2,65.1
2021-07-08 08:50:00,21.8,65.9
2021-07-08 09:05:00,22.6,64.8
2021-07-08 09:20:00,23.4,65.1
2021-07-08 09:35:00,24.4,64.7
2021-07-08 09:50:00,25.3,63.2
2021-07-08 10:05:00,26.1,56.7
2021-07-08 10:20:00,26.9,52.2
2021-07-08 10:35:00,27.6,47.2
2021-07-08 10:50:00,28.4,44.1
2021-07-08 11:05:00,29.1,43.5
2021-07-08 11:20:00,29.9,40.4
2021-07-08 11:35:00,30.6,40.2
2021-07-08 11:50:00,31.2,36.9
2021-07-08 12:05:00,31.7,35
2021-07-08 12:20:00,32.2,34.2
2021-07-08 12:35:00,32.7,33
2021-07-08 12:50:00,33.2,32.7
2021-07-08 13:05:00,33.6,28.3
2021-07-08 13:20:00,33.9,25.2
2021-07-08 13:35:00,34,25.4
2021-07-08 13:50:00,34.4,24.3
2021-07-08 14:05:00,34.8,23.6
2021-07-08 14:20:00,35,23.4
2021-07-08 14:35:00,35.2,26.1
2021-07-08 14:50:00,35.5,26.1
2021-07-08 15:05:00,35.7,26.6
2021-07-08 15:20:00,35.7,25.2
2021-07-08 15:35:00,35.8,27.6
2021-07-08 15:50:00,35.7,27.6
2021-07-08 16:05:00,35.7,28.2
2021-07-08 16:20:00,35.5,29.2
