Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-06-15 10:30:00,21,45.8
2021-06-15 10:45:00,21.2,46
2021-06-15 11:00:00,21.2,46.1
2021-06-15 11:15:00,21.4,46.7
2021-06-15 11:30:00,21.5,46.2
2021-06-15 11:45:00,21.7,46.4
2021-06-15 12:00:00,21.7,46.6
2021-06-15 12:15:00,21.9,46.9
2021-06-15 12:30:00,22.1,48.2
2021-06-15 12:45:00,22.2,48.1
2021-06-15 13:00:00,22.3,47.1
2021-06-15 13:15:00,22.4,46.5
2021-06-15 13:30:00,22.6,47.5
2021-06-15 13:45:00,22.7,47.5
2021-06-15 14:00:00,22.9,47.4
2021-06-15 14:15:00,23,46.9
2021-06-15 14:30:00,23.1,46.3
2021-06-15 14:45:00,23.2,45.9
2021-06-15 15:00:00,23.3,46.1
2021-06-15 15:15:00,23.4,45.9
2021-06-15 15:30:00,23.5,44.7
2021-06-15 15:45:00,23.6,44.4
2021-06-15 16:00:00,23.7,44.7
2021-06-15 16:15:00,23.7,43.2
2021-06-15 16:30:00,23.7,43
2021-06-15 16:45:00,23.7,41.7
2021-06-15 17:00:00,23.8,42.4
2021-06-15 17:15:00,23.8,42.7
2021-06-15 17:30:00,25,41.5
2021-06-15 17:45:00,25.3,39.7
2021-06-15 18:00:00,24.2,38.8
2021-06-15 18:15:00,23.2,41.1
2021-06-15 18:30:00,22.9,42.6
2021-06-15 18:45:00,22.6,43.4
2021-06-15 19:00:00,22.5,42.5
2021-06-15 19:15:00,22.5,42.4
2021-06-15 19:30:00,22.4,43
2021-06-15 19:45:00,22.4,43.9
2021-06-15 20:00:00,22.4,44.2
2021-06-15 20:15:00,22.3,43.8
2021-06-15 20:30:00,22.3,43.5
2021-06-15 20:45:00,22.3,44.1
2021-06-15 21:00:00,22.2,44.6
2021-06-15 21:15:00,22.2,44.2
2021-06-15 21:30:00,22.1,44.1
2021-06-15 21:45:00,22.1,43.2
2021-06-15 22:00:00,22,43.4
2021-06-15 22:15:00,21.8,44
2021-06-15 22:30:00,21.7,42.4
2021-06-15 22:45:00,21.6,43
2021-06-15 23:00:00,21.5,43.5
2021-06-15 23:15:00,21.4,45
2021-06-15 23:30:00,21.3,43.8
2021-06-15 23:45:00,21.4,43.3
2021-06-16 00:00:00,21.4,44.5
2021-06-16 00:15:00,21.2,44
2021-06-16 00:30:00,21.2,43.5
2021-06-16 00:45:00,21.2,42.5
2021-06-16 01:00:00,21.2,44.5
2021-06-16 01:15:00,21.1,43.4
2021-06-16 01:30:00,21.1,42.7
2021-06-16 01:45:00,21,43.9
2021-06-16 02:00:00,21,43.2
2021-06-16 02:15:00,21,43.8
2021-06-16 02:30:00,20.9,43.2
2021-06-16 02:45:00,21,43.7
2021-06-16 03:00:00,20.9,43.2
2021-06-16 03:15:00,20.9,43.3
2021-06-16 03:30:00,20.9,43.4
2021-06-16 03:45:00,20.8,42.9
2021-06-16 04:00:00,20.8,43.4
2021-06-16 04:15:00,20.9,43.1
2021-06-16 04:30:00,20.9,42.2
2021-06-16 04:45:00,20.8,43.1
2021-06-16 05:00:00,20.8,42.7
2021-06-16 05:15:00,20.8,43
2021-06-16 05:30:00,20.8,42.9
2021-06-16 05:45:00,20.8,43.1
2021-06-16 06:00:00,20.8,42.9
2021-06-16 06:15:00,20.6,42.3
2021-06-16 06:30:00,20.5,42.1
2021-06-16 06:45:00,20.5,42.3
2021-06-16 07:00:00,20.4,42.4
2021-06-16 07:15:00,20.5,42.9
2021-06-16 07:30:00,20.5,43.5
2021-06-16 07:45:00,20.6,43.5
2021-06-16 08:00:00,20.7,43.5
2021-06-16 08:15:00,20.7,43.9
2021-06-16 08:30:00,20.7,43.4
2021-06-16 08:45:00,20.8,43.2
2021-06-16 09:00:00,20.7,43.6
2021-06-16 09:15:00,21.5,39
2021-06-16 09:30:00,24.1,33.3
2021-06-16 09:45:00,26,42.5
2021-06-16 10:00:00,27.8,33.7
2021-06-16 10:15:00,28.5,31.9
2021-06-16 10:30:00,29.8,31
2021-06-16 10:45:00,30.2,30.3
2021-06-16 11:00:00,30.4,29.3
2021-06-16 11:15:00,30.7,27.4
2021-06-16 11:30:00,30.7,29.2
2021-06-16 11:45:00,30.7,26.4
2021-06-16 12:00:00,30.6,22.6
2021-06-16 12:15:00,30.8,24.6
2021-06-16 12:30:00,31.1,24.1
2021-06-16 12:45:00,31.4,23.6
2021-06-16 13:00:00,31.7,23.1
2021-06-16 13:15:00,31.9,23.4
2021-06-16 13:30:00,32.1,22.1
2021-06-16 13:45:00,32.3,21.2
2021-06-16 14:00:00,32.7,20.4
2021-06-16 14:15:00,33,21.4
2021-06-16 14:30:00,33.5,19.6
2021-06-16 14:45:00,33.7,19.8
2021-06-16 15:00:00,33.8,20.6
2021-06-16 15:15:00,33.7,20.9
2021-06-16 15:30:00,33.7,21.6
2021-06-16 15:45:00,33.7,19.5
2021-06-16 16:00:00,33.4,20.8
2021-06-16 16:15:00,33.3,22.8
2021-06-16 16:30:00,33.2,22.6
2021-06-16 16:45:00,33,25.6
2021-06-16 17:00:00,32.8,28.8
2021-06-16 17:15:00,32.6,23.1
2021-06-16 17:30:00,32.2,19.4
2021-06-16 17:45:00,32.1,20.4
2021-06-16 18:00:00,31.9,17.9
2021-06-16 18:15:00,31.9,19.8
2021-06-16 18:30:00,31.8,23.4
2021-06-16 18:45:00,31.7,24
2021-06-16 19:00:00,31.4,23.4
2021-06-16 19:15:00,31.2,24.9
2021-06-16 19:30:00,30.9,23.8
2021-06-16 19:45:00,30.7,22.7
2021-06-16 20:00:00,30.4,21.6
2021-06-16 20:15:00,30.2,22.9
2021-06-16 20:30:00,30,23
2021-06-16 20:45:00,29.6,23.9
2021-06-16 21:00:00,29.2,24.3
2021-06-16 21:15:00,28.8,23.6
2021-06-16 21:30:00,28.5,23.3
2021-06-16 21:45:00,28.2,23.5
2021-06-16 22:00:00,28,23.5
2021-06-16 22:15:00,27.9,23.7
2021-06-16 22:30:00,27.6,23.6
2021-06-16 22:45:00,27.2,24.2
2021-06-16 23:00:00,27,24.9
2021-06-16 23:15:00,26.4,26
2021-06-16 23:30:00,25.9,27.2
2021-06-16 23:45:00,25.8,27.3
2021-06-17 00:00:00,25.4,27.6
2021-06-17 00:15:00,25,27.9
2021-06-17 00:30:00,24.7,27.7
2021-06-17 00:45:00,24.5,27.5
2021-06-17 01:00:00,24.6,26.3
2021-06-17 01:15:00,24.6,26.6
2021-06-17 01:30:00,24.5,26.9
2021-06-17 01:45:00,24.2,27
2021-06-17 02:00:00,24.1,27.6
2021-06-17 02:15:00,23.8,28.3
2021-06-17 02:30:00,23.3,31
2021-06-17 02:45:00,22.9,31.2
2021-06-17 03:00:00,22.5,31.2
2021-06-17 03:15:00,22.2,31.5
2021-06-17 03:30:00,21.9,31.9
2021-06-17 03:45:00,21.6,32.1
2021-06-17 04:00:00,21.1,32.3
2021-06-17 04:15:00,20.7,32.2
2021-06-17 04:30:00,20.3,32
2021-06-17 04:45:00,20.2,31.5
2021-06-17 05:00:00,20.2,31.4
2021-06-17 05:15:00,20.3,31.6
2021-06-17 05:30:00,20.2,31.9
2021-06-17 05:45:00,20,32.8
2021-06-17 06:00:00,19.7,33.4
2021-06-17 06:15:00,19.5,35
2021-06-17 06:30:00,19.5,35.9
2021-06-17 06:45:00,19.7,37.3
2021-06-17 07:00:00,20,40.9
2021-06-17 07:15:00,20.4,41.9
2021-06-17 07:30:00,20.8,43.3
2021-06-17 07:45:00,21.3,45
2021-06-17 08:00:00,21.6,45.7
2021-06-17 08:15:00,22.1,50
2021-06-17 08:30:00,22.4,48.4
2021-06-17 08:45:00,23,52.1
2021-06-17 09:00:00,23.5,46.9
2021-06-17 09:15:00,24.1,43.5
2021-06-17 09:30:00,24.6,40.5
2021-06-17 09:45:00,25.7,47.4
2021-06-17 10:00:00,26.3,43.5
2021-06-17 10:15:00,26.7,38.7
2021-06-17 10:30:00,27.1,36.8
2021-06-17 10:45:00,27.7,38.2
2021-06-17 11:00:00,28.2,38
2021-06-17 11:15:00,28.8,38.4
2021-06-17 11:30:00,29.3,35.2
2021-06-17 11:45:00,29.7,35.2
2021-06-17 12:00:00,30.2,32.5
2021-06-17 12:15:00,30.9,31.8
2021-06-17 12:30:00,31.3,29.9
2021-06-17 12:45:00,31.7,28.1
2021-06-17 13:00:00,32.1,24.3
2021-06-17 13:15:00,32.4,21.4
2021-06-17 13:30:00,32.7,21
2021-06-17 13:45:00,32.7,19.1
2021-06-17 14:00:00,32.7,20.5
2021-06-17 14:15:00,33,22.2
2021-06-17 14:30:00,33.3,23.1
2021-06-17 14:45:00,33.6,23.3
2021-06-17 15:00:00,33.8,21.2
2021-06-17 15:15:00,34,21.1
2021-06-17 15:30:00,34.1,21.8
2021-06-17 15:45:00,34.2,21.1
2021-06-17 16:00:00,34.2,22
2021-06-17 16:15:00,34.2,22.8
2021-06-17 16:30:00,34.1,24.2
2021-06-17 16:45:00,34.1,24.6
2021-06-17 17:00:00,33.9,22.7
2021-06-17 17:15:00,33.7,22.7
2021-06-17 17:30:00,33.4,22.8
2021-06-17 17:45:00,33.2,23.6
2021-06-17 18:00:00,33.1,22.6
2021-06-17 18:15:00,33,23.5
2021-06-17 18:30:00,32.7,23.3
2021-06-17 18:45:00,32.5,24.5
2021-06-17 19:00:00,32.4,26.6
2021-06-17 19:15:00,32.2,26
2021-06-17 19:30:00,32,25.6
2021-06-17 19:45:00,31.5,27.4
2021-06-17 20:00:00,31.1,26.9
2021-06-17 20:15:00,30.8,26.5
2021-06-17 20:30:00,30.3,26
2021-06-17 20:45:00,29.7,26.6
2021-06-17 21:00:00,29.1,26.7
2021-06-17 21:15:00,28.2,25.4
2021-06-17 21:30:00,27.8,26.5
2021-06-17 21:45:00,27.7,26.8
2021-06-17 22:00:00,27.7,27.5
2021-06-17 22:15:00,27.3,27.3
2021-06-17 22:30:00,26.7,27.3
2021-06-17 22:45:00,26.3,27.6
2021-06-17 23:00:00,25.8,28.8
2021-06-17 23:15:00,25.4,29.2
2021-06-17 23:30:00,25.1,29.4
2021-06-17 23:45:00,24.8,29.8
2021-06-18 00:00:00,24.7,29.8
2021-06-18 00:15:00,24.6,29.1
2021-06-18 00:30:00,24.5,29.1
2021-06-18 00:45:00,24.4,29.2
2021-06-18 01:00:00,24.3,29.2
2021-06-18 01:15:00,24.1,29.4
2021-06-18 01:30:00,24,28.8
2021-06-18 01:45:00,23.9,28.8
2021-06-18 02:00:00,23.8,28.6
2021-06-18 02:15:00,23.6,29.5
2021-06-18 02:30:00,23.5,29.6
2021-06-18 02:45:00,23.4,29.7
2021-06-18 03:00:00,23.5,27.5
2021-06-18 03:15:00,23.4,27.9
2021-06-18 03:30:00,23.3,27.7
2021-06-18 03:45:00,23.2,27.7
2021-06-18 04:00:00,23.1,27.7
2021-06-18 04:15:00,22.8,28.3
2021-06-18 04:30:00,22.3,29.2
2021-06-18 04:45:00,22,29
2021-06-18 05:00:00,22,29.3
2021-06-18 05:15:00,21.7,30.2
2021-06-18 05:30:00,21.8,30.9
2021-06-18 05:45:00,21.7,30.6
2021-06-18 06:00:00,21.6,31.8
2021-06-18 06:15:00,21.3,33.3
2021-06-18 06:30:00,21.1,35.4
2021-06-18 06:45:00,21.2,35.4
2021-06-18 07:00:00,21.3,38
2021-06-18 07:15:00,21.5,39.2
2021-06-18 07:30:00,21.8,41
2021-06-18 07:45:00,22.1,40.5
2021-06-18 08:00:00,22.4,43.3
2021-06-18 08:15:00,22.8,43.7
2021-06-18 08:30:00,23.2,41.3
2021-06-18 08:45:00,23.6,39.2
2021-06-18 09:00:00,23.9,38
2021-06-18 09:15:00,24.2,37.5
2021-06-18 09:30:00,24.7,37.9
2021-06-18 09:45:00,25.1,37.6
2021-06-18 10:00:00,25.6,37.3
2021-06-18 10:15:00,25.9,34.4
2021-06-18 10:30:00,26.2,32.8
