Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-06-19 09:40:00,26.6,41.4
2021-06-19 09:55:00,27.5,39.2
2021-06-19 10:10:00,29.1,36.8
2021-06-19 10:25:00,29.9,35.1
2021-06-19 10:40:00,31.2,34.1
2021-06-19 10:55:00,30.7,33.9
2021-06-19 11:10:00,31.3,34.2
2021-06-19 11:25:00,31.5,34
2021-06-19 11:40:00,33.2,33.2
2021-06-19 11:55:00,34.7,30.2
2021-06-19 12:10:00,35.1,30.8
2021-06-19 12:25:00,34.3,31
2021-06-19 12:40:00,34.5,30.8
2021-06-19 12:55:00,33.9,32.5
2021-06-19 13:10:00,33.8,32.5
2021-06-19 13:25:00,33.6,33.4
2021-06-19 13:40:00,32.2,35.8
2021-06-19 13:55:00,30.5,38.1
2021-06-19 14:10:00,30.5,32.9
2021-06-19 14:25:00,29.7,33.1
2021-06-19 14:40:00,30.5,32.1
2021-06-19 14:55:00,29.6,34.4
2021-06-19 15:10:00,29.6,36.4
2021-06-19 15:25:00,27.9,40.7
2021-06-19 15:40:00,26.4,38.1
2021-06-19 15:55:00,26.9,36.5
2021-06-19 16:10:00,26.3,36.5
2021-06-19 16:25:00,27.2,36.2
2021-06-19 16:40:00,26.5,41.2
2021-06-19 16:55:00,26.4,45.4
2021-06-19 17:10:00,26.1,47.5
2021-06-19 17:25:00,26.1,48.7
2021-06-19 17:40:00,26,48.8
2021-06-19 17:55:00,25.6,48.7
2021-06-19 18:10:00,25.2,50.7
2021-06-19 18:25:00,25.2,43.1
2021-06-19 18:40:00,25.3,36.3
2021-06-19 18:55:00,25.4,34.8
2021-06-19 19:10:00,25.6,33.6
2021-06-19 19:25:00,25.6,32.4
2021-06-19 19:40:00,25.4,32.2
2021-06-19 19:55:00,25.3,32.1
2021-06-19 20:10:00,25.2,31.3
2021-06-19 20:25:00,24.8,31.2
2021-06-19 20:40:00,24.8,32.3
2021-06-19 20:55:00,24.5,32
2021-06-19 21:10:00,24.2,31.9
2021-06-19 21:25:00,23.5,33.4
2021-06-19 21:40:00,23,33.4
2021-06-19 21:55:00,22.1,36.7
2021-06-19 22:10:00,21.2,38.4
2021-06-19 22:25:00,21.3,35.9
2021-06-19 22:40:00,21.3,37
2021-06-19 22:55:00,21.6,36.6
2021-06-19 23:10:00,21.7,37.3
2021-06-19 23:25:00,21.7,35.6
2021-06-19 23:40:00,22.5,33.1
2021-06-19 23:55:00,23.3,31.2
2021-06-20 00:10:00,23.5,30.6
2021-06-20 00:25:00,23.6,30.3
2021-06-20 00:40:00,23.7,29.7
2021-06-20 00:55:00,23.6,29.8
2021-06-20 01:10:00,23.4,29.9
2021-06-20 01:25:00,23.1,29.9
2021-06-20 01:40:00,23.2,29.8
2021-06-20 01:55:00,23.3,29.6
2021-06-20 02:10:00,23.2,29.7
2021-06-20 02:25:00,23.3,29.3
2021-06-20 02:40:00,23.3,29.3
2021-06-20 02:55:00,22.9,30
2021-06-20 03:10:00,22.5,30.6
2021-06-20 03:25:00,22.1,30.9
2021-06-20 03:40:00,22.3,30.9
2021-06-20 03:55:00,22.1,31.4
2021-06-20 04:10:00,21.9,31.5
2021-06-20 04:25:00,21.6,32.3
2021-06-20 04:40:00,21.3,32.3
2021-06-20 04:55:00,21.5,32
2021-06-20 05:10:00,21.8,31.3
2021-06-20 05:25:00,22,31
2021-06-20 05:40:00,21.6,32.2
2021-06-20 05:55:00,21.1,33.1
2021-06-20 06:10:00,21,35
2021-06-20 06:25:00,19.8,44.3
2021-06-20 06:40:00,18.4,54.8
2021-06-20 06:55:00,19.4,50.5
2021-06-20 07:10:00,21.5,42.8
2021-06-20 07:25:00,23,41.9
2021-06-20 07:40:00,24.4,38.9
2021-06-20 07:55:00,25.1,35.6
2021-06-20 08:10:00,26.6,34.2
