Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-06-28 08:40:00,22,46.7
2021-06-28 08:55:00,19.1,51
2021-06-28 09:10:00,18.6,53.8
2021-06-28 09:25:00,18.6,54.8
2021-06-28 09:40:00,18.8,53.6
2021-06-28 09:55:00,18.8,53.4
2021-06-28 10:10:00,19.2,53.5
2021-06-28 10:25:00,19.5,51.9
2021-06-28 10:40:00,19.8,52
2021-06-28 10:55:00,20,51
2021-06-28 11:10:00,20.1,51.2
2021-06-28 11:25:00,20.5,52.6
2021-06-28 11:40:00,20.7,50.3
2021-06-28 11:55:00,20.8,49.4
2021-06-28 12:10:00,21,48.6
2021-06-28 12:25:00,21.2,48.5
2021-06-28 12:40:00,21.6,47.4
2021-06-28 12:55:00,21.1,44.5
2021-06-28 13:10:00,20.5,45.4
2021-06-28 13:25:00,20,46.6
2021-06-28 13:40:00,19.8,49.9
2021-06-28 13:55:00,19.7,50.6
2021-06-28 14:10:00,19.6,48.9
2021-06-28 14:25:00,19.8,47.6
2021-06-28 14:40:00,19.9,47.9
2021-06-28 14:55:00,20,48.2
2021-06-28 15:10:00,20.2,49.5
2021-06-28 15:25:00,20.7,46.5
2021-06-28 15:40:00,21.5,46.5
2021-06-28 15:55:00,22.1,43.4
2021-06-28 16:10:00,22.5,41.4
2021-06-28 16:25:00,22.8,40.1
2021-06-28 16:40:00,22.8,39.7
2021-06-28 16:55:00,23,37.8
2021-06-28 17:10:00,23.1,37.6
2021-06-28 17:25:00,23.1,37.1
2021-06-28 17:40:00,22.5,40.9
2021-06-28 17:55:00,22.2,42.1
2021-06-28 18:10:00,22,43.2
2021-06-28 18:25:00,21.9,44.1
2021-06-28 18:40:00,21.7,44.5
2021-06-28 18:55:00,21.6,44.7
2021-06-28 19:10:00,21.6,45
2021-06-28 19:25:00,21.3,46.3
2021-06-28 19:40:00,21.1,47.3
2021-06-28 19:55:00,20.9,46.8
2021-06-28 20:10:00,20.5,46
2021-06-28 20:25:00,20.2,46.1
2021-06-28 20:40:00,20.1,46.1
2021-06-28 20:55:00,19.9,46.1
2021-06-28 21:10:00,19.8,46.4
2021-06-28 21:25:00,19.6,46.7
2021-06-28 21:40:00,19.5,46.6
2021-06-28 21:55:00,19.2,47
2021-06-28 22:10:00,19.1,47.5
2021-06-28 22:25:00,19,48
2021-06-28 22:40:00,18.8,48.3
2021-06-28 22:55:00,18.7,48.9
2021-06-28 23:10:00,18.6,48.3
2021-06-28 23:25:00,18.5,48.1
2021-06-28 23:40:00,18.3,49.1
2021-06-28 23:55:00,18.1,49.5
2021-06-29 00:10:00,17.7,51.9
2021-06-29 00:25:00,17.6,52.2
2021-06-29 00:40:00,17.5,52.9
2021-06-29 00:55:00,17.4,52.7
2021-06-29 01:10:00,17.3,53.1
2021-06-29 01:25:00,17.3,52.7
2021-06-29 01:40:00,17.2,52.9
2021-06-29 01:55:00,17,53.1
2021-06-29 02:10:00,16.9,52.8
2021-06-29 02:25:00,16.7,52.2
2021-06-29 02:40:00,16.6,52.3
2021-06-29 02:55:00,16.4,52.4
2021-06-29 03:10:00,16.3,52.7
2021-06-29 03:25:00,16.1,53.5
2021-06-29 03:40:00,16,53.2
2021-06-29 03:55:00,15.8,53.1
2021-06-29 04:10:00,15.6,53.4
2021-06-29 04:25:00,15.5,53.7
2021-06-29 04:40:00,15.4,54.2
2021-06-29 04:55:00,15.3,54.6
2021-06-29 05:10:00,15.1,55.6
2021-06-29 05:25:00,14.9,56.1
2021-06-29 05:40:00,14.7,56.8
2021-06-29 05:55:00,14.6,56.9
2021-06-29 06:10:00,14.6,57.6
2021-06-29 06:25:00,14.5,58.4
2021-06-29 06:40:00,14.5,59.1
2021-06-29 06:55:00,14.5,59.1
2021-06-29 07:10:00,14.5,62
2021-06-29 07:25:00,14.9,64.9
2021-06-29 07:40:00,15.2,65.3
2021-06-29 07:55:00,15.6,65.4
2021-06-29 08:10:00,15.8,65.4
2021-06-29 08:25:00,16.1,65.7
2021-06-29 08:40:00,16.6,64.9
2021-06-29 08:55:00,16.8,63.3
2021-06-29 09:10:00,17.1,62.6
2021-06-29 09:25:00,17.3,62.3
2021-06-29 09:40:00,17.6,61.7
2021-06-29 09:55:00,18,61.1
2021-06-29 10:10:00,18.2,61.4
2021-06-29 10:25:00,18.6,60.3
2021-06-29 10:40:00,19.1,60
2021-06-29 10:55:00,19.4,59
2021-06-29 11:10:00,19.6,58.8
2021-06-29 11:25:00,19.7,58.2
2021-06-29 11:40:00,20.1,55.9
2021-06-29 11:55:00,20.3,55.5
2021-06-29 12:10:00,20.4,55.8
2021-06-29 12:25:00,20.7,56.1
2021-06-29 12:40:00,21.1,53.7
2021-06-29 12:55:00,21.3,52.7
2021-06-29 13:10:00,21.6,52.3
2021-06-29 13:25:00,21.8,52.1
2021-06-29 13:40:00,21.9,51
2021-06-29 13:55:00,22.2,52.3
2021-06-29 14:10:00,22.5,49.9
2021-06-29 14:25:00,22.9,49.3
2021-06-29 14:40:00,23.4,48.8
2021-06-29 14:55:00,23.6,47.9
2021-06-29 15:10:00,23.9,48.1
2021-06-29 15:25:00,24,47
2021-06-29 15:40:00,24,47.5
2021-06-29 15:55:00,24.6,44.6
2021-06-29 16:10:00,24.9,42.2
2021-06-29 16:25:00,25.1,41.7
2021-06-29 16:40:00,25.3,41.4
2021-06-29 16:55:00,25.3,41.3
2021-06-29 17:10:00,25.4,42
2021-06-29 17:25:00,25.6,41.5
2021-06-29 17:40:00,25.6,42.5
2021-06-29 17:55:00,25.5,43
2021-06-29 18:10:00,25.5,42.4
2021-06-29 18:25:00,25.4,42.7
2021-06-29 18:40:00,24.9,42.9
2021-06-29 18:55:00,24.1,42.4
2021-06-29 19:10:00,23.8,42.7
2021-06-29 19:25:00,23.6,43.1
2021-06-29 19:40:00,23.5,44
2021-06-29 19:55:00,23.6,44.3
2021-06-29 20:10:00,23.6,44.8
2021-06-29 20:25:00,23.6,45.3
2021-06-29 20:40:00,23.4,45.7
2021-06-29 20:55:00,23.1,46
2021-06-29 21:10:00,23,46.3
2021-06-29 21:25:00,22.7,46.4
