Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-07-05 07:30:00,21.6,49.2
2021-07-05 07:45:00,21.7,60.1
2021-07-05 08:00:00,21.5,67.9
2021-07-05 08:15:00,21.9,65
2021-07-05 08:30:00,22.7,62.9
2021-07-05 08:45:00,23.8,62.6
2021-07-05 09:00:00,25.1,60.6
2021-07-05 09:15:00,26.2,60.4
2021-07-05 09:30:00,26.9,52.5
2021-07-05 09:45:00,27.5,50.3
2021-07-05 10:00:00,28.4,48.8
2021-07-05 10:15:00,29.2,45.9
2021-07-05 10:30:00,30.2,45.2
2021-07-05 10:45:00,31.1,43.4
2021-07-05 11:00:00,32.2,43.4
2021-07-05 11:15:00,33.1,41.1
2021-07-05 11:30:00,33.9,38.6
2021-07-05 11:45:00,34.5,35.8
2021-07-05 12:00:00,34.4,33.3
2021-07-05 12:15:00,35,32.8
2021-07-05 12:30:00,35.7,32.2
2021-07-05 12:45:00,35.9,30.9
2021-07-05 13:00:00,36.7,31.1
2021-07-05 13:15:00,35.4,29.5
2021-07-05 13:30:00,35.1,32.2
2021-07-05 13:45:00,34.2,34
2021-07-05 14:00:00,33.8,34.6
2021-07-05 14:15:00,33.3,36.5
2021-07-05 14:30:00,32.9,38.4
2021-07-05 14:45:00,34.6,36.7
2021-07-05 15:00:00,36,34
2021-07-05 15:15:00,33.9,33.1
2021-07-05 15:30:00,32,34.8
2021-07-05 15:45:00,31,35.2
2021-07-05 16:00:00,29.7,34.2
2021-07-05 16:15:00,28.6,35.6
2021-07-05 16:30:00,28.1,36.9
2021-07-05 16:45:00,28.1,36.4
2021-07-05 17:00:00,28.4,37.7
2021-07-05 17:15:00,28.3,38.3
2021-07-05 17:30:00,28,41.5
2021-07-05 17:45:00,28.2,43.1
2021-07-05 18:00:00,28,37.3
2021-07-05 18:15:00,27.1,37.5
2021-07-05 18:30:00,26.6,37.4
2021-07-05 18:45:00,26.3,38
2021-07-05 19:00:00,26.1,38.4
2021-07-05 19:15:00,26.3,41.2
2021-07-05 19:30:00,26.4,44.3
2021-07-05 19:45:00,26.4,44.4
2021-07-05 20:00:00,26,41.7
2021-07-05 20:15:00,25.5,41.2
2021-07-05 20:30:00,25,42.1
2021-07-05 20:45:00,25.1,46.3
2021-07-05 21:00:00,24.9,47.5
2021-07-05 21:15:00,24.4,47.1
2021-07-05 21:30:00,24.1,47.6
2021-07-05 21:45:00,23.7,50.2
2021-07-05 22:00:00,23.1,47.8
2021-07-05 22:15:00,22.7,48.6
2021-07-05 22:30:00,22.5,48.9
2021-07-05 22:45:00,22.7,47.2
2021-07-05 23:00:00,22.8,45.3
2021-07-05 23:15:00,23.2,43
2021-07-05 23:30:00,22.8,45
2021-07-05 23:45:00,22.7,45.5
2021-07-06 00:00:00,22.7,45.6
2021-07-06 00:15:00,22.5,47.9
2021-07-06 00:30:00,22.3,48.8
2021-07-06 00:45:00,22,50.6
2021-07-06 01:00:00,21.7,51.1
2021-07-06 01:15:00,21.7,50.8
2021-07-06 01:30:00,21.6,51.9
2021-07-06 01:45:00,21.5,52.9
2021-07-06 02:00:00,21.2,54.5
2021-07-06 02:15:00,21,55.1
2021-07-06 02:30:00,20.7,56.4
2021-07-06 02:45:00,20.4,57.9
2021-07-06 03:00:00,20.1,58.2
2021-07-06 03:15:00,19.6,59.2
2021-07-06 03:30:00,19.2,60.3
2021-07-06 03:45:00,19,61.4
2021-07-06 04:00:00,18.8,62.8
2021-07-06 04:15:00,18.7,64.9
2021-07-06 04:30:00,18.7,65.7
