Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-06-12 00:00:00,18.1,41
2021-06-12 00:15:00,17.7,41.6
2021-06-12 00:30:00,17.3,41.6
2021-06-12 00:45:00,17.1,41.2
2021-06-12 01:00:00,16.6,42.6
2021-06-12 01:15:00,16.2,43.9
2021-06-12 01:30:00,15.7,44.3
2021-06-12 01:45:00,15.4,44.2
2021-06-12 02:00:00,15,46.1
2021-06-12 02:15:00,14.7,47.3
2021-06-12 02:30:00,14.3,47.6
2021-06-12 02:45:00,14.2,48.1
2021-06-12 03:00:00,13.9,47.9
2021-06-12 03:15:00,13.7,48.5
2021-06-12 03:30:00,13.3,49.4
2021-06-12 03:45:00,13.2,49.1
2021-06-12 04:00:00,12.9,49.8
2021-06-12 04:15:00,12.7,51.2
2021-06-12 04:30:00,12.5,51.9
2021-06-12 04:45:00,12.3,52.2
2021-06-12 05:00:00,12.2,53.1
2021-06-12 05:15:00,12.2,52.9
2021-06-12 05:30:00,12,53
2021-06-12 05:45:00,11.9,54.2
2021-06-12 06:00:00,11.7,54.3
2021-06-12 06:15:00,11.5,54.6
2021-06-12 06:30:00,11.5,56.4
2021-06-12 06:45:00,11.5,57.4
2021-06-12 07:00:00,11.7,58.4
2021-06-12 07:15:00,11.8,59
2021-06-12 07:30:00,12.2,61
2021-06-12 07:45:00,12.5,61.5
2021-06-12 08:00:00,13,61.7
2021-06-12 08:15:00,13.8,58.3
2021-06-12 08:30:00,14.4,56.9
2021-06-12 08:45:00,15,54.9
2021-06-12 09:00:00,15.4,51.4
2021-06-12 09:15:00,16,51.9
2021-06-12 09:30:00,16.7,52
2021-06-12 09:45:00,17.5,51
2021-06-12 10:00:00,18.2,51.4
2021-06-12 10:15:00,18.7,49.1
2021-06-12 10:30:00,19.1,47.2
2021-06-12 10:45:00,19.6,46.3
2021-06-12 11:00:00,20.1,46.2
2021-06-12 11:15:00,20.7,45.8
2021-06-12 11:30:00,21.3,43.7
2021-06-12 11:45:00,21.9,43.7
2021-06-12 12:00:00,22.4,43.2
2021-06-12 12:15:00,23.1,42.9
2021-06-12 12:30:00,23.5,40.6
2021-06-12 12:45:00,23.9,41.6
2021-06-12 13:00:00,24.4,39.6
2021-06-12 13:15:00,24.8,38
2021-06-12 13:30:00,25.2,36.7
2021-06-12 13:45:00,25.6,35.3
2021-06-12 14:00:00,26,35.4
2021-06-12 14:15:00,26.5,33.6
2021-06-12 14:30:00,26.9,34.3
2021-06-12 14:45:00,27.2,33.2
2021-06-12 15:00:00,27.7,33.2
2021-06-12 15:15:00,28.1,32.2
2021-06-12 15:30:00,28.4,32
2021-06-12 15:45:00,28.7,32.7
2021-06-12 16:00:00,29,33
2021-06-12 16:15:00,29.2,31
2021-06-12 16:30:00,29.4,31.8
2021-06-12 16:45:00,29.5,31.5
2021-06-12 17:00:00,29.5,30.9
2021-06-12 17:15:00,29.6,31.4
2021-06-12 17:30:00,29.7,30.9
2021-06-12 17:45:00,29.6,31.5
2021-06-12 18:00:00,29.7,31.4
2021-06-12 18:15:00,29.7,31.8
2021-06-12 18:30:00,29.7,32.2
2021-06-12 18:45:00,29.7,33.7
2021-06-12 19:00:00,29.6,35.3
2021-06-12 19:15:00,29.6,35.5
2021-06-12 19:30:00,29.4,35.4
2021-06-12 19:45:00,29.2,36.7
2021-06-12 20:00:00,28.9,37.8
2021-06-12 20:15:00,28.6,38.7
2021-06-12 20:30:00,28.2,38.7
2021-06-12 20:45:00,27.7,38.7
2021-06-12 21:00:00,27.1,39.3
2021-06-12 21:15:00,26.4,39.6
2021-06-12 21:30:00,25.8,39.9
2021-06-12 21:45:00,25.3,40.4
2021-06-12 22:00:00,24.8,40.6
2021-06-12 22:15:00,24.3,40.9
2021-06-12 22:30:00,23.7,41.4
2021-06-12 22:45:00,23.1,40.4
2021-06-12 23:00:00,22.7,42
2021-06-12 23:15:00,22.3,42.7
2021-06-12 23:30:00,22,43.1
2021-06-12 23:45:00,21.6,44.5
2021-06-13 00:00:00,21.2,46.4
2021-06-13 00:15:00,21,46.7
2021-06-13 00:30:00,20.7,47.3
2021-06-13 00:45:00,20.2,47.9
2021-06-13 01:00:00,19.9,48.3
2021-06-13 01:15:00,19.4,48.1
2021-06-13 01:30:00,19.1,48.3
2021-06-13 01:45:00,18.6,49.5
2021-06-13 02:00:00,18.3,50.4
2021-06-13 02:15:00,18.2,52
2021-06-13 02:30:00,18.1,54.6
2021-06-13 02:45:00,18.1,56.3
2021-06-13 03:00:00,18.1,54.5
2021-06-13 03:15:00,18.1,54.7
2021-06-13 03:30:00,17.9,54.3
2021-06-13 03:45:00,17.7,55
2021-06-13 04:00:00,17.3,55.5
2021-06-13 04:15:00,17,55.3
2021-06-13 04:30:00,16.7,56.4
2021-06-13 04:45:00,16.5,56.1
2021-06-13 05:00:00,16.2,55.9
2021-06-13 05:15:00,16.1,56
2021-06-13 05:30:00,16,55.8
2021-06-13 05:45:00,15.7,55.9
2021-06-13 06:00:00,15.5,56.9
2021-06-13 06:15:00,15.5,56.4
2021-06-13 06:30:00,15.4,59
2021-06-13 06:45:00,15.4,61.6
2021-06-13 07:00:00,15.5,64.5
2021-06-13 07:15:00,15.8,67.3
2021-06-13 07:30:00,16.2,68.2
2021-06-13 07:45:00,16.7,67.9
2021-06-13 08:00:00,17.4,70.4
2021-06-13 08:15:00,18.2,72.5
2021-06-13 08:30:00,18.9,73.1
2021-06-13 08:45:00,19.6,70.7
2021-06-13 09:00:00,20,70
2021-06-13 09:15:00,20.3,69.2
2021-06-13 09:30:00,20.6,68.9
2021-06-13 09:45:00,21.1,67.9
2021-06-13 10:00:00,21.6,66.4
2021-06-13 10:15:00,22,64.6
2021-06-13 10:30:00,22.5,63.1
2021-06-13 10:45:00,23,63
2021-06-13 11:00:00,23.7,60.3
2021-06-13 11:15:00,24.1,56.5
2021-06-13 11:30:00,24.5,55.9
2021-06-13 11:45:00,25.1,53.4
2021-06-13 12:00:00,25.6,52
2021-06-13 12:15:00,26.1,50.9
2021-06-13 12:30:00,26.6,50.9
2021-06-13 12:45:00,27,50.3
2021-06-13 13:00:00,27.1,51.1
2021-06-13 13:15:00,27.6,49.7
2021-06-13 13:30:00,27.8,48.5
2021-06-13 13:45:00,28.3,48.8
2021-06-13 14:00:00,28.9,49.1
2021-06-13 14:15:00,29.2,48.9
2021-06-13 14:30:00,29.2,48.6
2021-06-13 14:45:00,29.4,48.7
2021-06-13 15:00:00,29.9,47.1
2021-06-13 15:15:00,30.4,45.4
2021-06-13 15:30:00,30.8,44.7
2021-06-13 15:45:00,31.1,43.4
2021-06-13 16:00:00,31.5,41.8
2021-06-13 16:15:00,31.7,41
2021-06-13 16:30:00,31.9,39.6
2021-06-13 16:45:00,32.2,40.3
2021-06-13 17:00:00,32.4,40.6
2021-06-13 17:15:00,32.5,41
2021-06-13 17:30:00,32.7,41.2
2021-06-13 17:45:00,32.9,40.6
2021-06-13 18:00:00,32.6,38.4
2021-06-13 18:15:00,32.4,37.1
2021-06-13 18:30:00,32.2,36.7
2021-06-13 18:45:00,32,36.3
2021-06-13 19:00:00,31.7,35.8
2021-06-13 19:15:00,31.3,34.5
2021-06-13 19:30:00,30.9,35.5
2021-06-13 19:45:00,30.6,37.7
2021-06-13 20:00:00,30.2,39.9
2021-06-13 20:15:00,30,40.6
2021-06-13 20:30:00,29.6,41.3
2021-06-13 20:45:00,29.1,41.6
2021-06-13 21:00:00,28.7,42.5
2021-06-13 21:15:00,28.3,42.7
2021-06-13 21:30:00,28,43
2021-06-13 21:45:00,27.6,43.8
2021-06-13 22:00:00,27.2,43.3
2021-06-13 22:15:00,26.9,43.1
2021-06-13 22:30:00,26.6,43.8
2021-06-13 22:45:00,26.1,44.1
2021-06-13 23:00:00,25.7,45.2
2021-06-13 23:15:00,25.4,46.3
2021-06-13 23:30:00,25.1,46.8
2021-06-13 23:45:00,24.7,47.2
2021-06-14 00:00:00,24.3,47.4
2021-06-14 00:15:00,23.9,48.1
2021-06-14 00:30:00,23.7,48.3
2021-06-14 00:45:00,23.4,48.9
2021-06-14 01:00:00,23.1,49.2
2021-06-14 01:15:00,22.7,50.3
2021-06-14 01:30:00,22.5,50
2021-06-14 01:45:00,22.2,50.8
2021-06-14 02:00:00,22,51.2
2021-06-14 02:15:00,21.7,51.7
2021-06-14 02:30:00,21.4,52.5
2021-06-14 02:45:00,21.1,53
2021-06-14 03:00:00,20.9,53.5
2021-06-14 03:15:00,20.5,53.7
2021-06-14 03:30:00,20.3,55
2021-06-14 03:45:00,20,55.6
2021-06-14 04:00:00,19.6,55.8
2021-06-14 04:15:00,19.4,56.8
2021-06-14 04:30:00,19.2,57.5
2021-06-14 04:45:00,19,58.1
2021-06-14 05:00:00,18.6,58.5
2021-06-14 05:15:00,18.5,58.2
2021-06-14 05:30:00,18.3,58.9
2021-06-14 05:45:00,18.2,60.1
2021-06-14 06:00:00,18.1,60.5
2021-06-14 06:15:00,18.1,62.2
2021-06-14 06:30:00,18.1,61.7
2021-06-14 06:45:00,18.2,61.8
2021-06-14 07:00:00,18.3,62.5
2021-06-14 07:15:00,18.4,62.9
2021-06-14 07:30:00,18.6,64.1
2021-06-14 07:45:00,18.8,64.1
2021-06-14 08:00:00,19,65.1
2021-06-14 08:15:00,19.3,65.5
2021-06-14 08:30:00,19.7,65.3
2021-06-14 08:45:00,19.9,65.8
2021-06-14 09:00:00,20.3,65.9
2021-06-14 09:15:00,20.7,65.4
2021-06-14 09:30:00,21.1,65.8
2021-06-14 09:45:00,21.4,64
2021-06-14 10:00:00,21.8,63.7
2021-06-14 10:15:00,22.2,61.4
2021-06-14 10:30:00,22.7,61.6
2021-06-14 10:45:00,23.1,57.3
2021-06-14 11:00:00,23.6,58.1
2021-06-14 11:15:00,24.2,58.5
2021-06-14 11:30:00,24.8,56
2021-06-14 11:45:00,25.4,53.3
2021-06-14 12:00:00,26.1,51.9
2021-06-14 12:15:00,26.6,51.2
2021-06-14 12:30:00,27.1,50.5
2021-06-14 12:45:00,27.7,50.7
2021-06-14 13:00:00,28.2,49
2021-06-14 13:15:00,28.6,49.2
2021-06-14 13:30:00,29.1,47.9
2021-06-14 13:45:00,29.4,45.7
2021-06-14 14:00:00,30,45.7
2021-06-14 14:15:00,30.3,44.1
2021-06-14 14:30:00,30.6,42.6
2021-06-14 14:45:00,31.1,41.5
2021-06-14 15:00:00,31.4,40.7
2021-06-14 15:15:00,31.7,42
2021-06-14 15:30:00,31.9,39.5
2021-06-14 15:45:00,32.1,38.5
2021-06-14 16:00:00,32.4,37.4
2021-06-14 16:15:00,32.4,36.1
2021-06-14 16:30:00,32.8,36.5
2021-06-14 16:45:00,32.8,34.1
2021-06-14 17:00:00,32.8,32.8
