Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2021-06-26 08:00:00,17.9,59.3
2021-06-26 08:15:00,16.9,64.5
2021-06-26 08:30:00,16.7,65.2
2021-06-26 08:45:00,16.8,63.5
2021-06-26 09:00:00,16.9,62.5
2021-06-26 09:15:00,17.2,62.7
2021-06-26 09:30:00,17.5,63.5
2021-06-26 09:45:00,17.7,63.4
2021-06-26 10:00:00,18.1,63.2
2021-06-26 10:15:00,18.8,62.6
2021-06-26 10:30:00,19.3,60.5
2021-06-26 10:45:00,19.7,59.7
2021-06-26 11:00:00,20.1,60.4
2021-06-26 11:15:00,20.5,59
2021-06-26 11:30:00,20.7,57.5
2021-06-26 11:45:00,19.8,55.6
2021-06-26 12:00:00,19.7,56.4
2021-06-26 12:15:00,19.9,56.9
2021-06-26 12:30:00,20,56.6
2021-06-26 12:45:00,20.7,58.3
2021-06-26 13:00:00,21.4,56.6
2021-06-26 13:15:00,21.9,54.8
2021-06-26 13:30:00,21.9,53.8
2021-06-26 13:45:00,20.4,57.1
2021-06-26 14:00:00,20,58.5
2021-06-26 14:15:00,19.5,60.8
2021-06-26 14:30:00,19,63.8
2021-06-26 14:45:00,18.7,65.2
2021-06-26 15:00:00,18.6,65.4
2021-06-26 15:15:00,18.6,67
2021-06-26 15:30:00,18.4,67.5
2021-06-26 15:45:00,18.2,68.5
2021-06-26 16:00:00,18.1,70.3
2021-06-26 16:15:00,17.9,70.1
2021-06-26 16:30:00,17.9,69.6
2021-06-26 16:45:00,17.8,68.3
2021-06-26 17:00:00,17.6,68.4
2021-06-26 17:15:00,17.6,68.5
2021-06-26 17:30:00,17.6,68
2021-06-26 17:45:00,17.6,69.3
2021-06-26 18:00:00,17.6,69.5
2021-06-26 18:15:00,17.5,68.5
2021-06-26 18:30:00,17.5,67.2
2021-06-26 18:45:00,17.5,67.5
2021-06-26 19:00:00,17.5,66.7
2021-06-26 19:15:00,17.9,65.5
2021-06-26 19:30:00,18,63.5
