"","ymd_hms","temp_c","humid_perc","site","nest","Timestamp.for.sample.frequency.every.1.min.min","time","date","obs_date","obs_start_time","obs_end_time","HD","filter_last_day"
"1",2021-06-25 00:00:00,20.1,51.4,"bluecloud","17",NA,0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"2",2021-06-25 00:15:00,20,49.4,"bluecloud","17",NA,15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"3",2021-06-25 00:30:00,20.1,50.5,"bluecloud","17",NA,30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"4",2021-06-25 00:45:00,20,51.7,"bluecloud","17",NA,45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"5",2021-06-25 01:00:00,19.9,52.1,"bluecloud","17",NA,1H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"6",2021-06-25 01:15:00,19.9,52.6,"bluecloud","17",NA,1H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"7",2021-06-25 01:30:00,19.8,53.3,"bluecloud","17",NA,1H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"8",2021-06-25 01:45:00,19.5,54.2,"bluecloud","17",NA,1H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"9",2021-06-25 02:00:00,19.3,55.2,"bluecloud","17",NA,2H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"10",2021-06-25 02:15:00,19.2,55.1,"bluecloud","17",NA,2H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"11",2021-06-25 02:30:00,19.2,54,"bluecloud","17",NA,2H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"12",2021-06-25 02:45:00,19.1,53.5,"bluecloud","17",NA,2H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"13",2021-06-25 03:00:00,19,53.3,"bluecloud","17",NA,3H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"14",2021-06-25 03:15:00,18.9,53,"bluecloud","17",NA,3H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"15",2021-06-25 03:30:00,18.7,52.9,"bluecloud","17",NA,3H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"16",2021-06-25 03:45:00,18.5,53.4,"bluecloud","17",NA,3H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"17",2021-06-25 04:00:00,18.4,53.3,"bluecloud","17",NA,4H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"18",2021-06-25 04:15:00,18.3,53.5,"bluecloud","17",NA,4H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"19",2021-06-25 04:30:00,18.2,53.3,"bluecloud","17",NA,4H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"20",2021-06-25 04:45:00,18.1,53.5,"bluecloud","17",NA,4H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"21",2021-06-25 05:00:00,18,53.3,"bluecloud","17",NA,5H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"22",2021-06-25 05:15:00,17.9,53.1,"bluecloud","17",NA,5H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"23",2021-06-25 05:30:00,17.6,54.3,"bluecloud","17",NA,5H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"24",2021-06-25 05:45:00,17.4,54.7,"bluecloud","17",NA,5H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"25",2021-06-25 06:00:00,17.2,54.4,"bluecloud","17",NA,6H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"26",2021-06-25 06:15:00,17.2,55.1,"bluecloud","17",NA,6H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"27",2021-06-25 06:30:00,17.8,55,"bluecloud","17",NA,6H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"28",2021-06-25 06:45:00,18.7,56.3,"bluecloud","17",NA,6H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"29",2021-06-25 07:00:00,18.6,56.2,"bluecloud","17",NA,7H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"30",2021-06-25 07:15:00,19.8,56.3,"bluecloud","17",NA,7H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"31",2021-06-25 07:30:00,20.7,55.9,"bluecloud","17",NA,7H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"32",2021-06-25 07:45:00,20.7,53.9,"bluecloud","17",NA,7H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"33",2021-06-25 08:00:00,20.4,53.8,"bluecloud","17",NA,8H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"34",2021-06-25 08:15:00,20.2,54.5,"bluecloud","17",NA,8H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"35",2021-06-25 08:30:00,20.4,54.4,"bluecloud","17",NA,8H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"36",2021-06-25 08:45:00,20.3,54.5,"bluecloud","17",NA,8H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"37",2021-06-25 09:00:00,20.6,55.4,"bluecloud","17",NA,9H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"38",2021-06-25 09:15:00,21.2,54.5,"bluecloud","17",NA,9H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"39",2021-06-25 09:30:00,22.2,53.1,"bluecloud","17",NA,9H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"40",2021-06-25 09:45:00,22.7,51.2,"bluecloud","17",NA,9H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"41",2021-06-25 10:00:00,23.2,50.3,"bluecloud","17",NA,10H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"42",2021-06-25 10:15:00,23.7,49.7,"bluecloud","17",NA,10H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"43",2021-06-25 10:30:00,24.3,48.8,"bluecloud","17",NA,10H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"44",2021-06-25 10:45:00,24.7,48.4,"bluecloud","17",NA,10H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"45",2021-06-25 11:00:00,24.9,49.1,"bluecloud","17",NA,11H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"46",2021-06-25 11:15:00,25.1,47.7,"bluecloud","17",NA,11H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"47",2021-06-25 11:30:00,25,46.4,"bluecloud","17",NA,11H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"48",2021-06-25 11:45:00,25,45.3,"bluecloud","17",NA,11H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"49",2021-06-25 12:00:00,25.2,45,"bluecloud","17",NA,12H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
