"","ymd_hms","temp_c","humid_perc","site","nest","time","date"
"1",2021-06-02 00:04:00,13,61.2,"grizz","68",4M 0S,2021-06-02
"2",2021-06-02 00:19:00,12.8,61.6,"grizz","68",19M 0S,2021-06-02
"3",2021-06-02 00:34:00,12.6,61.8,"grizz","68",34M 0S,2021-06-02
"4",2021-06-02 00:49:00,12.4,62.1,"grizz","68",49M 0S,2021-06-02
"5",2021-06-02 01:04:00,12.2,62.8,"grizz","68",1H 4M 0S,2021-06-02
"6",2021-06-02 01:19:00,12.1,63.2,"grizz","68",1H 19M 0S,2021-06-02
"7",2021-06-02 01:34:00,11.9,63.6,"grizz","68",1H 34M 0S,2021-06-02
"8",2021-06-02 01:49:00,11.7,63.5,"grizz","68",1H 49M 0S,2021-06-02
"9",2021-06-02 02:04:00,11.6,63.6,"grizz","68",2H 4M 0S,2021-06-02
"10",2021-06-02 02:19:00,11.5,63.5,"grizz","68",2H 19M 0S,2021-06-02
"11",2021-06-02 02:34:00,11.3,63.8,"grizz","68",2H 34M 0S,2021-06-02
"12",2021-06-02 02:49:00,11.2,64,"grizz","68",2H 49M 0S,2021-06-02
"13",2021-06-02 03:04:00,11.1,64.2,"grizz","68",3H 4M 0S,2021-06-02
"14",2021-06-02 03:19:00,11,64.6,"grizz","68",3H 19M 0S,2021-06-02
"15",2021-06-02 03:34:00,11,65.2,"grizz","68",3H 34M 0S,2021-06-02
"16",2021-06-02 03:49:00,10.9,65,"grizz","68",3H 49M 0S,2021-06-02
"17",2021-06-02 04:04:00,10.8,65.6,"grizz","68",4H 4M 0S,2021-06-02
"18",2021-06-02 04:19:00,10.6,66.3,"grizz","68",4H 19M 0S,2021-06-02
"19",2021-06-02 04:34:00,10.5,66.2,"grizz","68",4H 34M 0S,2021-06-02
"20",2021-06-02 04:49:00,10.5,67.3,"grizz","68",4H 49M 0S,2021-06-02
"21",2021-06-02 05:04:00,10.4,67.3,"grizz","68",5H 4M 0S,2021-06-02
"22",2021-06-02 05:19:00,10.4,67.9,"grizz","68",5H 19M 0S,2021-06-02
"23",2021-06-02 05:34:00,10.4,68.6,"grizz","68",5H 34M 0S,2021-06-02
"24",2021-06-02 05:49:00,10.3,68.7,"grizz","68",5H 49M 0S,2021-06-02
"25",2021-06-02 06:04:00,10.3,69.1,"grizz","68",6H 4M 0S,2021-06-02
"26",2021-06-02 06:19:00,10.3,69.8,"grizz","68",6H 19M 0S,2021-06-02
"27",2021-06-02 06:34:00,10.4,70.6,"grizz","68",6H 34M 0S,2021-06-02
"28",2021-06-02 06:49:00,10.5,71.5,"grizz","68",6H 49M 0S,2021-06-02
"29",2021-06-02 07:04:00,10.7,72.4,"grizz","68",7H 4M 0S,2021-06-02
"30",2021-06-02 07:19:00,11.1,74,"grizz","68",7H 19M 0S,2021-06-02
"31",2021-06-02 07:34:00,11.7,74.9,"grizz","68",7H 34M 0S,2021-06-02
"32",2021-06-02 07:49:00,12.1,74.7,"grizz","68",7H 49M 0S,2021-06-02
"33",2021-06-02 08:04:00,12.7,75.5,"grizz","68",8H 4M 0S,2021-06-02
"34",2021-06-02 08:19:00,13.5,75.4,"grizz","68",8H 19M 0S,2021-06-02
"35",2021-06-02 08:34:00,14.2,74,"grizz","68",8H 34M 0S,2021-06-02
"36",2021-06-02 08:49:00,15,72.8,"grizz","68",8H 49M 0S,2021-06-02
"37",2021-06-02 09:04:00,16.2,71.4,"grizz","68",9H 4M 0S,2021-06-02
"38",2021-06-02 09:19:00,17.3,70,"grizz","68",9H 19M 0S,2021-06-02
"39",2021-06-02 09:34:00,18.2,66.7,"grizz","68",9H 34M 0S,2021-06-02
"40",2021-06-02 09:49:00,19.3,64.1,"grizz","68",9H 49M 0S,2021-06-02
"41",2021-06-02 10:04:00,19.9,60.9,"grizz","68",10H 4M 0S,2021-06-02
"42",2021-06-02 10:19:00,20.4,59.3,"grizz","68",10H 19M 0S,2021-06-02
"43",2021-06-02 10:34:00,20.9,58,"grizz","68",10H 34M 0S,2021-06-02
"44",2021-06-02 10:49:00,22.2,56.8,"grizz","68",10H 49M 0S,2021-06-02
"45",2021-06-02 11:04:00,22.7,54.5,"grizz","68",11H 4M 0S,2021-06-02
"46",2021-06-02 11:19:00,23.3,53.6,"grizz","68",11H 19M 0S,2021-06-02
"47",2021-06-02 11:34:00,23.7,52.3,"grizz","68",11H 34M 0S,2021-06-02
"48",2021-06-02 11:49:00,24.8,51.6,"grizz","68",11H 49M 0S,2021-06-02
"49",2021-06-02 12:04:00,25.5,49.6,"grizz","68",12H 4M 0S,2021-06-02
"50",2021-06-02 12:19:00,26.3,47.5,"grizz","68",12H 19M 0S,2021-06-02
"51",2021-06-02 12:34:00,26.8,46.3,"grizz","68",12H 34M 0S,2021-06-02
"52",2021-06-02 12:49:00,27.2,44.6,"grizz","68",12H 49M 0S,2021-06-02
"53",2021-06-02 13:04:00,27.8,44.2,"grizz","68",13H 4M 0S,2021-06-02
"54",2021-06-02 13:19:00,27.7,42.5,"grizz","68",13H 19M 0S,2021-06-02
"55",2021-06-02 13:34:00,27.8,40.8,"grizz","68",13H 34M 0S,2021-06-02
"56",2021-06-02 13:49:00,28,38.3,"grizz","68",13H 49M 0S,2021-06-02
"57",2021-06-02 14:04:00,28.4,38.8,"grizz","68",14H 4M 0S,2021-06-02
"58",2021-06-02 14:19:00,28.7,37.9,"grizz","68",14H 19M 0S,2021-06-02
"59",2021-06-02 14:34:00,29,37.5,"grizz","68",14H 34M 0S,2021-06-02
