"","ymd_hms","temp_c","humid_perc","site","nest","time","date"
"1",2021-06-25 00:00:00,20.1,51.4,"bluecloud","17",0S,2021-06-25
"2",2021-06-25 00:15:00,20,49.4,"bluecloud","17",15M 0S,2021-06-25
"3",2021-06-25 00:30:00,20.1,50.5,"bluecloud","17",30M 0S,2021-06-25
"4",2021-06-25 00:45:00,20,51.7,"bluecloud","17",45M 0S,2021-06-25
"5",2021-06-25 01:00:00,19.9,52.1,"bluecloud","17",1H 0M 0S,2021-06-25
"6",2021-06-25 01:15:00,19.9,52.6,"bluecloud","17",1H 15M 0S,2021-06-25
"7",2021-06-25 01:30:00,19.8,53.3,"bluecloud","17",1H 30M 0S,2021-06-25
"8",2021-06-25 01:45:00,19.5,54.2,"bluecloud","17",1H 45M 0S,2021-06-25
"9",2021-06-25 02:00:00,19.3,55.2,"bluecloud","17",2H 0M 0S,2021-06-25
"10",2021-06-25 02:15:00,19.2,55.1,"bluecloud","17",2H 15M 0S,2021-06-25
"11",2021-06-25 02:30:00,19.2,54,"bluecloud","17",2H 30M 0S,2021-06-25
"12",2021-06-25 02:45:00,19.1,53.5,"bluecloud","17",2H 45M 0S,2021-06-25
"13",2021-06-25 03:00:00,19,53.3,"bluecloud","17",3H 0M 0S,2021-06-25
"14",2021-06-25 03:15:00,18.9,53,"bluecloud","17",3H 15M 0S,2021-06-25
"15",2021-06-25 03:30:00,18.7,52.9,"bluecloud","17",3H 30M 0S,2021-06-25
"16",2021-06-25 03:45:00,18.5,53.4,"bluecloud","17",3H 45M 0S,2021-06-25
"17",2021-06-25 04:00:00,18.4,53.3,"bluecloud","17",4H 0M 0S,2021-06-25
"18",2021-06-25 04:15:00,18.3,53.5,"bluecloud","17",4H 15M 0S,2021-06-25
"19",2021-06-25 04:30:00,18.2,53.3,"bluecloud","17",4H 30M 0S,2021-06-25
"20",2021-06-25 04:45:00,18.1,53.5,"bluecloud","17",4H 45M 0S,2021-06-25
"21",2021-06-25 05:00:00,18,53.3,"bluecloud","17",5H 0M 0S,2021-06-25
"22",2021-06-25 05:15:00,17.9,53.1,"bluecloud","17",5H 15M 0S,2021-06-25
"23",2021-06-25 05:30:00,17.6,54.3,"bluecloud","17",5H 30M 0S,2021-06-25
"24",2021-06-25 05:45:00,17.4,54.7,"bluecloud","17",5H 45M 0S,2021-06-25
"25",2021-06-25 06:00:00,17.2,54.4,"bluecloud","17",6H 0M 0S,2021-06-25
"26",2021-06-25 06:15:00,17.2,55.1,"bluecloud","17",6H 15M 0S,2021-06-25
"27",2021-06-25 06:30:00,17.8,55,"bluecloud","17",6H 30M 0S,2021-06-25
"28",2021-06-25 06:45:00,18.7,56.3,"bluecloud","17",6H 45M 0S,2021-06-25
"29",2021-06-25 07:00:00,18.6,56.2,"bluecloud","17",7H 0M 0S,2021-06-25
"30",2021-06-25 07:15:00,19.8,56.3,"bluecloud","17",7H 15M 0S,2021-06-25
"31",2021-06-25 07:30:00,20.7,55.9,"bluecloud","17",7H 30M 0S,2021-06-25
"32",2021-06-25 07:45:00,20.7,53.9,"bluecloud","17",7H 45M 0S,2021-06-25
"33",2021-06-25 08:00:00,20.4,53.8,"bluecloud","17",8H 0M 0S,2021-06-25
"34",2021-06-25 08:15:00,20.2,54.5,"bluecloud","17",8H 15M 0S,2021-06-25
"35",2021-06-25 08:30:00,20.4,54.4,"bluecloud","17",8H 30M 0S,2021-06-25
"36",2021-06-25 08:45:00,20.3,54.5,"bluecloud","17",8H 45M 0S,2021-06-25
