,female_band,male_band,nest,site,obs_date,observer,obs_method,nestling_number,nestling_age,blind_camera_distance,obs_start_time,obs_end_time,trial_temp,min_temp,max_temp,trial_humidity,wind_speed,wind_gust,cloud_cover,notes,total_visits,female_visits,male_visits,total_feeding_visits,female_feeding_visits,male_feeding_visits,total_an_duration,female_an_duration,male_an_duration,total_brooding_duration,female_brooding_duration,male_brooding_duration
1,2640-97398,2850-57907,68,grizz,6/5/2021,"SAM, ZML",person,4,3,6.17,5:58,6:58,14.8,13,35.6,53.6,4,5,partly,"sat down at 5:33am, magpie in and out of barn a few times, sanitizing behavior not noted on d3 obs",14.98583838,7.992447137,6.993391245,8.99150303,2.997167677,5.994335353,3569.50282,2982.877181,586.6256388,3310.169889,2881.906598,428.2632912
2,2640-97398,2850-57907,68,grizz,6/10/2021,APP,camera,4,8,1.016,6:05,7:05,15.1,14.8,36.2,49.8,3,5,partly,,12.17445315,7.101764338,5.072688813,11.15991539,5.072688813,6.087226575,2647.198889,1573.795617,1073.403273,2021.05256,1191.413291,829.6392698
3,2640-97398,2850-57907,68,grizz,6/14/2021,ZML,person,4,12,5.842,6:00,7:00,17.4,14.8,37.9,60.2,0,0,clear,"habituation 5:45, unknown other probably female based on how it fed at 6:22",19.9476264,9.973813199,8.976431879,17.95286376,8.976431879,8.976431879,NA,NA,1097.801661,137.925868,137.925868,0
4,2850-57860,UNB,154,grizz,6/10/2021,APP,camera,5,3,0.914,6:05,7:05,14.4,14.1,36,50.8,3,5,partly,,18.15347757,7.059685721,11.09379185,16.1364245,5.042632658,11.09379185,2806.730346,1501.515479,1305.214867,2027.348102,995.8160717,1031.53203
5,2850-57860,UNB,154,grizz,6/15/2021,APP,camera,5,8,0.876,6:05,7:05,16.3,16.2,37.7,47.1,1,3,clear,,13.10130952,8.062344317,5.038965198,9.070137357,3.023379119,6.046758238,2535.846135,1710.421308,825.4248268,143.4180197,143.4180197,0
6,2850-57860,UNB,154,grizz,6/19/2021,,camera,3,12,0.927,,,16.7,16.7,36,54.5,0,0,partly,"camera crashed, no d12 obs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2850-57711,2850-57473,1,vanloon,6/10/2021,SAM,person,3,3,0.97,6:00,7:00,15.1,14.3,29.7,50.4,0,0,partly,not possible to score GFN modifiers,21.98492811,10.99246406,10.99246406,17.98766845,7.994519313,9.993149141,3535.940916,2217.592717,1318.348199,2858.156575,1824.949895,1033.206679
8,2850-57711,2850-57473,1,vanloon,6/15/2021,SAM,person,3,8,1.24,6:20,7:20,17.5,17.4,33.3,51.2,0,0,clear,not possible to score GFN modifiers,19.97585142,10.98671828,8.989133137,15.98068113,7.990340566,7.990340566,2489.233793,1656.804108,832.429685,1100.053158,851.1540493,248.8991086
9,2850-57711,2850-57473,1,vanloon,6/19/2021,SAM,person,3,12,1.32,6:30,7:30,18.4,18.4,30.9,53.2,0,0,partly,not possible to score GFN modifiers,22.97177662,12.98404765,8.988956069,21.97300372,11.98527476,8.988956069,975.0200795,883.1239841,89.14048101,0,0,0
10,2850-57520,UNB,156,grizz,6/12/2021,ZML,person,4,4,5.33,5:45,6:45,10.9,10.9,31.7,48.5,0,0,clear,,18.52099561,8.773103182,9.747892424,10.72268167,2.924367727,7.79831394,3236.339276,2294.812767,941.5265091,2718.494189,2089.233615,629.2605736
11,2850-57520,UNB,156,grizz,6/17/2021,ZML,person,4,9,5.64,6:06,7:06,18,18,39.1,37.8,0,0,partly,,14.97883823,4.992946077,9.985892153,11.98307058,3.994356861,7.988713723,2151.03207,1512.448247,638.583823,968.7154204,968.7154204,0
12,2850-57520,UNB,156,grizz,6/21/2021,ZML,person,3,13,5.26,6:15,7:15,15.1,15,39.1,65,0,0,mostly,,5.973218412,0.995536402,3.982145608,4.97768201,0,3.982145608,2635.191825,2526.828683,102.6059548,0,0,0
13,2640-97390,2850-57866,139,grizz,6/12/2021,APP,person,4,3,6.5,5:45,6:46,11.2,12.3,31.4,47.8,0,0,clear,start habituation 5:25,16.80385237,6.919233327,9.884619039,6.919233327,3.953847615,2.965385712,3491.997687,2735.417084,756.5806028,2312.76659,2295.462575,17.30401409
